idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
017702542,Abvz,"Catalogus universalis, hoc est designatio omnium librorum, qui hisce nundinis ... Francofurtensibus & Lipsiensibus anno ... vel novi vel emendatiores & auctiores prodierunt",,,,,983441081,
017838088,Abvz,Journal des sçavans,,,,,1046045113,
018410472,Abvz,Landbibliothek zu einem angenehmen und lehrreichen Zeitvertreibe aus verschiedenen Sprachen zusammen getragen,,,,,1032971002,
018560679,Abvz,Statistische Gesamterhebung an den Museen der Bundesrepublik Deutschland,für das Jahr ... ; including an English summary,,,,1011409453,
018601839,Abvz,Briefwechsel der Familie des neuen Kinderfreundes,,,,,1028161530,
018605893,Abvz,Leipziger Post- und Ordinar-Zeitung,,,,,018605818,1156387825
018605893,Abvz,Leipziger Post- und Ordinar-Zeitung,,,,,018605818,1156389682
018970842,Abvz,Vollständige Auszüge aus den besten chirurgischen Dispüten aller Akademien,"nebst Anzeigen der neuesten chirurgischen Bücher, und einem Anhange chirurgischer Neuigkeiten",,,,1026349591,
019064063,Abvz,"Lehr-, Kunst- und Welt-Calender vor Sr. Königl. Majestät in Pohlen und Churfürstl. Durchl. zu Sachsen Churfürstenthum, incorporiert und andere Lande",auf das Jahr Christi,,,,1022720244,
01948139X,Abvz,"L' @Abeille du Parnasse ou nouveau choix de pensées, reflexions, maximes portraits et caracteres",par ...,,,,1059516985,
019676980,Abvz,Büdingische Sammlung einiger in die Kirchen-Historie einschlagender sonderlich neuerer Schrifften,nebst darzu gehörigen Registern,,,,,1243764848
019775210,Abvz,Kleine Kinderbibliothek,,,,,1021495794,
019775253,Abvz,Sammlung interessanter und durchgängig zweckmäßig abgefaßter Reisebeschreibungen für die Jugend,,,,,1026746388,
020976720,Abvz,Jahresbericht,,,,,024735094,
026956586,Abvz,Der @monathlich-herausgegebenen Insecten-Belustigung ... Theil,,,,,,1234094193
978991567,Abvz,"Etrennes mignones, curieuses, utiles et intéressantes",pour l'an ...,,,,1059538822,
994314051,Aal,"Gläntzende Tauben-Flügel, das ist","ausführlicher Bericht, von dem Leben und Todt Herrn Friedrich Taubmanns weiland ... Professoris zu Wittenberg",,,,1063438276,
994726791,Afl,Destouches,Néricault,Oeuvres de Destouches,1.,Titelkupf. v. S. Fokke,,1255080531
995491712,Obvz,Mercure de France,,,,,011214805,
997102381,Aal,Abhandlung über den Ursprung der Sprache,,,,,101480129X,
997309466,Aal,"Abraham, de aartsvader",In 12 boeken,,,,,1255081333
99975193X,Aal,"Illustris Domini Seyfridi Promnigü, Baronis Plessensis, ... herois fortissimi, vita",,,,,1063483905,
100120994X,Aal,"Hypomnemata et alia quaedam ad Grammaticam Phil[ippi] Melanchthonis Serenissimi Saxoniae Electoris, etc. jussu revisam, pertinentia, pro usu adultiorum et docentium, seorsim edita",,,,,1063408148,
1001268598,Aal,Drey Jubelfests Predigten||,die Erste bey ankündigung deß Christlichen Evangelischen Jubelfests ... (1617) ...,,,,1063490766,
1001907868,Aal,"Der @Chur-Fürstlichen Sächsischen Residenz-Stadt Dreßden Statuta und Stadt-Recht, sammt angehängten Ordnungen",,,,,1063451868,
1002803829,Aal,"Nohtwendige Vertheidigung, des heiligen Römischen Reichs evangelischer Chur=Fürsten vnd Stände AugApffels",,,,,1063481392,
1003008585,Aal,Churfürstl. Sächs. gnädigst-confirmirte Vormundschaft-Ordnung des Raths zu Dreßden,,,,,1063400406,
1027149979,Obvz,Christoph Ernst Siculs annalium Lipsiensium maxime academicorum continuatio ... oder des Leipziger Jahr-Buchs ... Fortsetzung,,,,,016481577,
1028641559,Abvz,Neue Thalia,,,,,102864079X,
1066785597,Aaf,Clementina,tooneelspel,,,,,125508023X
1066869103,AaB,"Heinrichs von Alkmar Reineke der Fuchs, mit schönen Kupfern",,,,,,1255080655
1100197079,Af,Kolb,Peter,Description Du Cap De Bonne-Esperance,Tome 1,,,1255080930
1132656737,Af,,,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 1.,,,1255080817
1132656745,Af,,,Mémoires pour servir à l' histoire de la maison de Brandebourg,Pt. 2.,,,1255080760
