idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
013465600,Abvz,"Der @Hinkende und Stolpernde doch eilfertig fliegend und laufende Bote, Evangelisch verbesserter und Katholisch neuer, Europäisch allgemeiner Staats-Kriegs-Siegs-Geschichts-Kalender auf das Jahr …",,,,,,1090933886
013862553,Abvz,Illustrirte Zeitung,"Leipzig, Berlin, Wien, Budapest, New York",,,,019945728,
013862553,Abvz,Illustrirte Zeitung,"Leipzig, Berlin, Wien, Budapest, New York",,,,1020045264,
014398656,Abvz,Stenographischer Bericht über die Verhandlungen der Deutschen Constituirenden Nationalversammlung zu Frankfurt am Main,,,,,020955626,
014398656,Abvz,Stenographischer Bericht über die Verhandlungen der Deutschen Constituirenden Nationalversammlung zu Frankfurt am Main,,,,,1013434293,
014398656,Abvz,Stenographischer Bericht über die Verhandlungen der Deutschen Constituirenden Nationalversammlung zu Frankfurt am Main,,,,,1046054686,
014453495,Abvz,Münchener Bilderbogen,,,,,014453509,1152217372
014453495,Abvz,Münchener Bilderbogen,,,,,020258194,1152217372
01548047X,Advz,"Schauplatz der Künste und Handwerke, oder vollständige Beschreibung derselben",,,,,019740484,
01548047X,Advz,"Schauplatz der Künste und Handwerke, oder vollständige Beschreibung derselben",,,,,1068731648,
015761754,Advz,Arbeitsblätter des Arbeitskreises Nordrhein-Westfälischer Papierrestauratoren,,,,,1181469058,
017167752,Abvz,Brockhaus-Enzyklopädie,,,,,027480992,
017440912,Abvz,Periodisch erscheinender Katalog verkäuflicher Münzen und Medaillen,Mittelalter und Neuzeit,,,,,1171940432
02076510X,Abvz,Meyer's Universum,ein Jahrbuch für Freunde der Natur und Kunst ; mit Abbildungen der interessantesten Stätten der Erde und Beschreibungen ; Prachtausgabe,,,,,1211050467
026289377,Abvz,Verzeichniss des Antiquarischen Bücherlagers von A. Bielefeld's Hofbuchhandlung in Karlsruhe,,,,,104654702X,
997383259,Aal,Hortulus animae to dude,Curss van unser leven Vrouwen,,,,,1262598842
