idn,akz,bbg,signatur_g,jahr,titel,stuecktitel
011244542,L-1757-154744751,Abvz,"IV 205, 32 b",1757,Bibliothek der schönen Wissenschaften und der freyen Künste : , : 
018238858,L-1781-162789416,Abvz,"IV 205, 50",1781,Der @Greis : , : 
016179404,L-1763-164319794,Abvz,"IV 205, 51",1763,"Allergnädigst privilegirtes Leipziger Intelligenz-Blatt : in Frag- und Anzeigen, für Stadt- und Land-Wirthe, zum Besten des Nahrungsstandes", : 
012705233,L-1716-140756876,Abvz,"IV 205, 57b",1716,Miscellanea Lipsiensia ad incrementum rei litterariae edita : , : 
011278404,L-1770-15465468X,Abvz,"IV 205, 65",1770,Almanach der deutschen Musen : auf das Jahr .., : 
012997978,L-1776-168492784,Abvz,"IV 205, 66",1776,Leipziger Musenalmanach : , : 
012730068,L-1749-354142879,Abvz,"IV 205, 74 c",1749,Oeconomische Nachrichten : ,",  : , "
012010677,L-1715-180417770,Abvz,"IV 205, 97 a",1715,Neuer Zeitungen von Gelehrten Sachen auf das Jahr ... Theil : , : 
018605893,L-1682-170046265,Abvz,"IV 205, 103",1682,Leipziger Post- und Ordinar-Zeitung : ,",  : , "
015460630,L-1734-18041500X,Abvz,"IV 205, 104",1734,Leipziger Zeitungen : , : 
019064063,L-1712-175360057,Abvz,"IV 205, 115",1712,"Lehr-, Kunst- und Welt-Calender vor Sr. Königl. Majestät in Pohlen und Churfürstl. Durchl. zu Sachsen Churfürstenthum, incorporiert und andere Lande :", : 
978991567,L-1757-159674093,Abvz,"IV 210 B, 1",1757,"Etrennes mignones, curieuses, utiles et intéressantes : pour l'an ...", : 
01948139X,L-1752-15604532X,Abvz,"IV 216, 11",1752,"L' @Abeille du Parnasse ou nouveau choix de pensées, reflexions, maximes portraits et caracteres : par ...", : 
012807265,L-1784-168342464,Abvz,"IV 232, 2 a",1784,Patriotisches Archiv für Deutschland : , : 
013662228,L-1729-154472565,Abvz,"IV 273, 8 f",1705,"Nicolai Schmieds oder des gelehrten Bauers verbesserter und neuer Schreib-Calender : darinnen zu finden ..., die zu einem Calender gehören", : 
011869755,L-1780-165137010,Abvz,"IV 273, 20",1780,Kinderzeitung : , : 
012813893,L-1756-169068064,Abvz,"IV 273, 31",1756,Samuel Wilhelm Oetters wöchentlichen Wappenbelustigung ... Stück : , : 
026956586,L-1746-170874389,Abvz,"IV 273, 42",1746,Der @monathlich-herausgegebenen Insecten-Belustigung ... Theil : , : 
016259440,L-1689-695173723,Abvz,"IV 273, 63",1689,"Europäischer Mercurius oder Götter-Both : das ist jetzt lebend- und regierender Potentaten Kriegs- und Friedens-Actiones, darinnen monatlich dem curie", : 
013465600,L-1720-155361503,Abvz,"IV 278, 3",1716,"Der @Hinkende und Stolpernde doch eilfertig fliegend und laufende Bote, Evangelisch verbesserter und Katholisch neuer, Europäisch allgemeiner Staats-K", : 
012485500,L-1752-381892417,Abvz,"IV 291, 20",1752,"Observations sur l'histoire naturelle, sur la physique et sur la peinture : ", : 
01549389X,L-1756-381892476,Abvz,"IV 291, 20",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : ", : 
01549389X,L-1756-418080283,Abvz,"IV 291, 20 a",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : ", : 
978991567,L-1757-432606157,Abvz,"IV 291, 53a",1757,"Etrennes mignones, curieuses, utiles et intéressantes : pour l'an ...", : 
012810851,L-1769-16338228X,Abvz,"IV 323, 7",1769,"Kritische Wälder, oder Betrachtungen, die Wissenschaft und Kunst des Schönen betreffend : ", : 
011889160,L-1732-168448106,Abvz,"IV 343, 4",1732,Sammlung rußischer Geschichte : ,",  : , "
012973696,L-1781-16446168X,Abvz,"IV 343, 4",1781,Neues St.-Petersburgisches Journal : vom Jahre ..., : 
978931386,L-1742-344276848,Abvz,"IV 347, 5",1722,Merckwürdigkeiten der neuesten Welt-Geschichten : , : 
011285230,L-1773-192233122,Abvz,"IV 420, 3",1773,Der @teutsche Merkur : , : 
013034936,L-1781-49019575X,Abvz,"IV 442, [6]",1781,Kirchen- und Ketzer-Almanach : ,",  : , "
