idn,akz,bbg,standort,signatur_g,signatur_a,titel,stuecktitel,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,f4801_k,einrichtung,exemplar
1066967628,L-1496-315497874,Aa,DBSM/M/Bö,Bö Ink 151 - Fragm.,Bö Ink 151 - Fragm.,Concordantiae bibliorum : , : ,,,,,,,,,,1,02
1066967644,L-1483-315497890,Aaf,DBSM/M/Boe,Bö Ink 6,Bö Ink 6,Cordiale quattuor novissimorum : , : ,,,,,,,,,,1,02
1066967687,L-1476-315497947,Aaf,DBSM/M/Boe,Bö Ink 114 - Fragm.,Bö Ink 114 - Fragm.,Corpus iuris civilis. Institutiones : , : ,,,,,,,,,,1,02
1066967717,L-1491-315497971,Aaq,,,Bö Ink 224 - Fragm.,La @Commedia : , : ,,,,,,,,,,1,02
1066967725,L-1497-768213703,Aaf,DBSM/M/Boe,Bö Ink 224 - Fragm.,Bö Ink 224 - Fragm.,La @Commedia : , : ,,,,,,,,,,1,03
1066967733,L-1498-315497998,Aaf,DBSM/M/Boe,Bö Ink 85,Bö Ink 85,De exterioris et interioris hominis compositione (Ausz. Lib. 2 und 3). De profectu religiosorum : , : ,,,,,,,,,,1,02
1066967792,L-1489-315498064,Aaf,DBSM/M/Boe,Bö Ink 244 - Fragm.,Bö Ink 244 - Fragm.,Die @Geschichte der Römer : , : ,,,,,,,,,,1,02
106696792X,L-1475-31549817X,Aaf,DBSM/M/Boe,Bö Ink 194 - Fragm.,Bö Ink 194 - Fragm.,Rationale divinorum officiorum : , : ,,,,,,,,,,1,04
1066967946,L-1477-315498218,Aaf,DBSM/M/Bö,Bö Ink 112 - Fragm.,Bö Ink 112 - Fragm.,Rationale divinorum officiorum : , : ,,,,,,,,,,1,01
1066967989,L-1494-315498250,Aaf,DBSM/M/Bö,Bö Ink 130 - Fragm.,Bö Ink 130 - Fragm.,Rationale divinorum officiorum : , : ,,,,,,,,,,1,01
1066968004,L-1474-315498277,Aaf,DBSM/M/Boe,Bö Ink 58,Bö Ink 58,Speculum iudiciale : , : ,,,,,,,,,,1,02
1066968012,L-1486-315498285,Aaf,DBSM/M/Bö,Bö Ink 153 - Fragm.,Bö Ink 153 - Fragm.,Speculum iudiciale : , : ,,,,,,,,,,1,01
1066968020,L-1478-315498293,Aaf,DBSM/M/Boe,Bö Ink 209 - Fragm.,Bö Ink 209 - Fragm.,Sermones dominicales super epistolas Pauli : , : ,,,,1066941572,Qd,,,,,1,02
1066968063,L-1483-31549834X,Aaf,DBSM/M/Boe,Bö Ink 207 - Fragm.,Bö Ink 207 - Fragm.,Plenarium : , : ,,,,,,,,,,1,02
1066968098,L-1483-315498366,Aaf,DBSM/M/Boe,Bö Ink 36,Bö Ink 36,Chronicon : , : ,,,,,,,,Policastriis: Schreibfehler im Allegro-Personensatz,,1,02
1066968101,L-1475-315498374,Aaf,DBSM/M/Boe,Bö Ink 76,Bö Ink 76,Historia ecclesiastica : , : ,,,,,,,,,,1,02
1066968160,L-1497-315498439,Aaf,DBSM/M/Boe,Bö Ink 71,Bö Ink 71,Epistolae : , : ,,,,,,,,,,1,02
1066968195,L-1497-315498463,Aaf,DBSM/M/Boe,Bö Ink 238 - Fragm.,Bö Ink 238 - Fragm.,De claris mulieribus : , : ,,,,,,,,,,1,02
1066968276,L-1491-315498536,Aa,DBSM/M/Bö,Bö Ink 230 - Fragm.,Bö Ink 230 - Fragm.,Schatzbehalter der wahren Reichtümer des Heils : , : ,,,,,,,,,,1,02
1066968284,L-1497-315498544,Aaf,DBSM/M/Boe,Bö Ink 88,Bö Ink 88,Compendium de origine et gestis Francorum : , : ,,,,,,,,,,1,02
1066968365,L-1474-315498617,Aaf,DBSM/M/Boe,Bö Ink 63,Bö Ink 63,In librum de homine Martii Galeotti opus : , : ,,,,,,,,,,1,02
1066968489,L-1489-315498749,Aa,DBSM/M/Bö,Bö Ink 120 - Fragm.,Bö Ink 120 - Fragm.,Opera : , : ,,,,,,,,,,1,02
1066968500,L-1494-315498765,Aa,DBSM/M/Bö,Bö Ink 236 - Fragm.,Bö Ink 236 - Fragm.,Opera : , : ,,,,,,,,,,1,02
1066968519,L-1500-315498773,Aaf,DBSM/M/Boe,Bö Ink 139 - Fragm.,Bö Ink 139 - Fragm.,De confutatione hebraicae sectae : , : ,,,,,,,,,,1,02
1066968578,L-1483-31549882X,Aa,DBSM/M/Bö,Bö Ink 60,Bö Ink 60,Decretum : , : ,,,,,,,,,,1,02
1066968586,L-1484-315498838,Aa,DBSM/M/Bö,Bö Ink 157 - Fragm.,Bö Ink 157 - Fragm.,Decretum : , : ,,,,,,,,,,1,02
1066968608,L-1493-315498854,Aa,DBSM/M/Bö,Bö Ink 164 - Fragm.,Bö Ink 164 - Fragm.,Decretum : , : ,,,,,,,,,,1,02
1066968608,L-1493-315498862,Aa,DBSM/M/Bö,Bö Ink 240 - Fragm.,Bö Ink 240 - Fragm.,Decretum : , : ,,,,,,,,,,1,03
1066968624,L-1473-315498889,Aaf,DBSM/M/Boe,Bö Ink 90,Bö Ink 90,Dialogi [etc.] : , : ,,,,,,,,,,1,02
1066968683,L-1496-315498927,Aa,DBSM/M/Bö,Bö Ink 237 - Fragm.,Bö Ink 237 - Fragm.,Moralia sive Expositio in Job : , : ,,,,,,,,,,1,02
1066968691,L-1498-315498935,Aa,DBSM/M/Bö,Bö Ink 37,Bö Ink 37,Moralia sive Expositio in Job : , : ,,,,,,,,,,1,02
1066968705,L-1471-315498943,Aa,DBSM/M/Bö,Bö Ink 190 - Fragm.,Bö Ink 190 - Fragm.,Moralia sive Expositio in Job : , : ,,,,,,,,,,1,02
1066968780,L-1481-315499044,Aa,DBSM/M/Bö,Bö Ink 167 - Fragm.,Bö Ink 167 - Fragm.,Decretales : , : ,,,,,,,,,,1,02
1066968799,L-1482-315499060,Aa,DBSM/M/Bö,Bö Ink 150 - Fragm.,Bö Ink 150 - Fragm.,Decretales : , : ,,,,,,,,,,1,02
1066968802,L-1494-315499079,Aa,DBSM/M/Bö,Bö Ink 143 - Fragm.,Bö Ink 143 - Fragm.,Decretales : , : ,,,,,,,,,,1,02
1066968942,L-1497-315499222,Aaf,DBSM/M/Boe,Bö Ink 79,Bö Ink 79,Diaeta salutis : , : ,,,,,,,,,,1,02
1066968985,L-1497-315499257,Aaf,DBSM/DA,(04.03.03.02.0837),Bö Ink 170 - Fragm.,Summa de virtutibus et vitiis : , : ,,,,,,a,,,,1,02
1066969019,L-1498-315499281,Aaf,DBSM/M/Boe,Bö Ink 11,Bö Ink 11,Oratio funebris in Fridericum Bavariae Ducem : , : ,,,,,,,,,,1,02
106696906X,L-1484-315499362,Aa,DBSM/M/Bö,Bö Ink 123 - Fragm.,Bö Ink 123 - Fragm.,"Sermones de tempore, de sanctis, de tribus partibus poenitentiae et de adventu : ", : ,,,,,,,,,,1,02
1066969140,L-1479-315499443,Aa,DBSM/M/Bö,Bö Ink 99 - Fragm.,Bö Ink 99 - Fragm.,Sermones Discipuli de tempore et de sanctis : , : ,,,,,,,,,,1,02
1066969221,L-1482-315499532,Aaf,DBSM/M/Bö,Bö Ink 119 - Fragm.,Bö Ink 119 - Fragm.,Homiliarius doctorum de tempore et de sanctis : , : ,,,,,,,,,,1,02
1066969272,L-1481-315499583,Aaf,DBSM/M/Boe,Bö Ink 158 - Fragm.,Bö Ink 158 - Fragm.,Compendium theologicae veritatis : , : ,,,,,,,,,,1,02
1066969302,L-1483-315499613,Aaf,DBSM/M/Boe,Bö Ink 105 - Fragm.,Bö Ink 105 - Fragm.,Sermones dominicales super evangelia et epistolas : , : ,,,,,,,,,,1,02
1066969310,L-1482-315499621,Aaf,DBSM/DA,(04.06.02.0989),Bö Ink 136 - Fragm.,Postilla super evangelia : , : ,,,,,,a,,,,1,02
1066969310,L-1482-31549963X,Aaf,DBSM/M/Boe,Bö Ink 174 - Fragm.,Bö Ink 174 - Fragm.,Postilla super evangelia : , : ,,,,,,,,,,1,03
1066969434,L-1483-315499753,Aaf,DBSM/M/Boe,Bö Ink 62,Bö Ink 62,Postillae de tempore et sermones : , : ,,,,,,,,,,1,02
1066969442,L-1479-31549977X,Aa,DBSM/M/Bö,Bö Ink 212 - Fragm.,Bö Ink 212 - Fragm.,Sermones de sanctis : , : ,,,,,,,,,,1,02
1066969485,L-1483-315499826,Aaf,DBSM/M/Boe,Bö Ink 179 - Fragm.,Bö Ink 179 - Fragm.,Etymologiae : , : ,,,,,,,,,,1,03
1066969590,L-1497-315499915,Aaf,DBSM/M/Boe,Bö Ink 25,Bö Ink 25,Epitome Historiarum Trogi Pompei : , : ,,,,,,,,,,1,02
1066969647,L-1499-315499974,Aa,DBSM/M/Bö,Bö Ink 235 - Fragm.,Bö Ink 235 - Fragm.,Liber decretorum sive Panormia : , : ,,,,,,,,,,1,02
1066969698,L-1475-315500034,Aa,DBSM/M/Bö,Bö Ink 98 - Fragm.,Bö Ink 98 - Fragm.,Sermones dominicales : , : ,,,,,,,,,,1,02
106696971X,L-1481-315500050,Aaf,DBSM/M/Boe,Bö Ink 96 - Fragm.,Bö Ink 96 - Fragm.,Legenda aurea sanctorum sive Lombardica historia : , : ,,,,,,,,,,1,02
1066969728,L-1483-315500069,Aaf,DBSM/M/Boe,Bö Ink 161 - Fragm.,Bö Ink 161 - Fragm.,Legenda aurea sanctorum sive Lombardica historia : , : ,,,,,,,,,,1,02
1066969736,L-1483-315500077,Aaf,DBSM/M/Boe,Bö Ink 171 - Fragm.,Bö Ink 171 - Fragm.,Legenda aurea sanctorum sive Lombardica historia : , : ,,,,,,,,,,1,02
1066969744,L-1483-315500085,Aaf,DBSM/M/Boe,Bö Ink 184 - Fragm.,Bö Ink 184 - Fragm.,Legenda aurea sanctorum sive Lombardica historia : , : ,,,,,,,,,,1,02
1066969817,L-1475-315500158,Aaf,DBSM/M/Boe,Bö Ink 109 - Fragm.,Bö Ink 109 - Fragm.,Additiones ad Durantis speculum iudiciale : , : ,,,,,,,,,,1,02
1066969841,L-1491-315500182,Aaf,DBSM/M/Boe,Bö Ink 24,Bö Ink 24,Novella super VI. Decretalium : , : ,,,,,,,,,,1,02
1066969892,L-1483-315500220,Aaf,DBSM/M/Boe,Bö Ink 213 - Fragm.,Bö Ink 213 - Fragm.,Quaestiones in IV libros Sententiarum seu Libri IV defensionum theologiae Thomae Aquinatis /Johannes Capreolus. Hrsg.: Thomas de Sancto Germano : , : ,,,,,,,,,,1,02
