idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1066969191,Aaf,De trinitate contra Arianos,,,74 Bl.,,,,,,1268948691,Qd
1066969205,Aaf,Vita Sancti Dionysii,,,30 Bl.,,,,,,,
1066969213,Aaf,Historia Alexandri Magni,,,38 Bl.,,,,,,,
106696923X,Aaf,Hortus sanitatis,,,454 Bl.,,,,,,,
1066969248,Aaf,Hortus sanitatis,,,360 Bl.,,,,,,,
1066969256,Aa,Hortus sanitatis,,,360 Bl.,,,,,,,
1066969264,Aaf,De sermonum proprietate sive Opus de universo,,,170 Bl.,,,,,,,
1066969280,Aa,Compendium theologicae veritatis,,,192 Bl.,,,,,,,
1066969299,Aa,Quaestiones super I. III. et IV. sententiarum,,,200 Bl.,,,,,,1268950041,Qd
1066969310,Aaf,Postilla super evangelia,,,492 Bl.,,,,,,,
1066969329,Aa,Soliloquium in modum dialogi,,,10 Bl.,,,,,,,
1066969337,Aaf,Auslegung über Sankt Augustins Regel,,,206 Bl.,,,,,,,
1066969345,Aaf,"De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum",,,186 Bl.,,,,,,126896333X,Qd
1066969353,Aaf,De contemptu mundi sive De vilitate conditionis humanae,,,48 Bll.,,,,,,,
106696940X,Aaf,Liber de contemptu mundi sive De miseria humanae conditionis,,,80 Bl.,,,,,,,
1066969418,Aaf,Malleus maleficarum,,,102 Bl.,,,,,,,
1066969426,Aa,Malleus maleficarum,,,146 Bl.,,,,,,,
1066969434,Aaf,Postillae de tempore et sermones,,,P. 1: 234 Bl. - P. 2: 184 Bl.,,,,,,,
1066969469,Aaf,De responsione mundi et de astrorum ordinatione,,,20 Bl.,,,,,,,
1066969477,Aaf,Etymologiae,,,264 Bl.,,,,,,,
1066969485,Aaf,Etymologiae,,,136 Bl.,,,,,,,
1066969507,Aa,Digestum novum,,,356 Bl.,,,,,,,
1066969515,Aaf,Digestum vetus,,,404 Bl.,,,,,,,
1066969531,Aaf,Institutiones,,,103 Bl.,,,,,,,
1066969558,Aa,Institutiones,,,113 Bl.,,,,,,,
1066969566,Aaf,Institutiones,,,103 Bl.,,,,,,,
1066969574,Aaf,Corpus iuris civilis. Novellae etc.,,,P. 1: 169 Bl. - P. 2: 36 Bl. - P. 3: 96 Bl.,,,,,,,
1066969582,Aaf,Orationes et epistolae,,,66 Bl.,,,,,,,
1066969612,Aaf,Satyrae,,,198 Bl.,,,,,,,
1066969655,Aaf,De urbis Collosensis obsidione a. 1480 a Turcis tentata,,,8 Bl.,,,,,,,
1066969663,Aaf,De animabus exutis a corporibus sive De apparitionibus et receptaculis animarum,,,22 Bl.,,,,,,,
1066969671,Aaf,De veritate dicenda aut tacenda,,,20 Bl.,,,,,,,
106696968X,Aaf,Sermones de sanctis,,,274 Bl.,,,,,,,
1066969701,Aaf,Consolatio peccatorum seu Processus Belial,,,118 Bl.,,,,,,,
1066969752,Aaf,Legenda aurea sanctorum sive Lombardica historia,,,264 Bl.,,,,,,,
1066969760,Aa,Legenda aurea sanctorum sive Lombardica historia,,,426 Bl.,,,,,,,
1066969779,Aaf,"Legenda aurea, deutsch. P. 1. (Winterteil). P. 2. (Sommerteil)",,,"260 (P. 1), 213 (P. 2) Bll.",,,,,,,
1066969787,Aa,Sermones de sanctis,,,206 Bl.,,,,,,,
1066969795,Aaf,Vocabularius iuris utriusque,,,310 Bl.,,,,,,,
1066969809,Aa,Vocabularius iuris utriusque,,,232 Bl.,,,,,,,
1066969825,Aaf,Lectura super arboribus consanguinitatis et affinitatis,,,10 Bl.,,,,,,,
1066969868,Aaf,Summa de sponsalibus et matrimoniis,,,10 Bl.,,,,,,,
1066969876,Aaf,Baum der Sippschaft,,,6 Bl.,,,,,,,
1066969884,Aaf,"Vßlegung vber den boume der sypschafft, Vßlegung vber den boum der mogschafft, mit einem Anhang Zu erclerung des boumes der geistlichen sypschafft oder geistlichen mogschaft",,,12 Bl.,,,,,,,
1066969906,Aaf,Homiliae super Johannem,,,194 Bl.,,,,,,1268958271,Qd
1066969914,Aaf,Homiliae super Matthaeum,,,252 Bl.,,,,,,,
1066969930,Aaf,Summa de sacramentis,,,49 Bl.,,,,,,,
1066969949,Aaf,De adhaerendo Deo,,,40 Bl.,,,,,,,
1066969965,Aa,Summa confessorum,,,200 Blätter,,,,,,,
1066969981,Aaf,Sphaera mundi,,,32 Bl.,,,,,,1268385603,Qd
106696999X,Aa,Sphaera mundi,,,150 Bl.,,,,,,,
1066970041,Aa,Liber de exemplis ac similitudinibus rerum,,,342 Bl.,,,,,,,
106697005X,Aaf,Expositio super toto psalterio,,,173 Bl.,,,,,,,
1066970068,Aa,Expositio super toto psalterio,,,126 Bl.,,,,,,,
1066970076,Aa,Expositio super toto psalterio,,,98 Bl.,,,,,,,
1066970084,Aaf,Quaestiones Evangeliorum de tempore et de sanctis,,,450 Bl.,,,,,,,
1066970092,Aa,Sermones Dormi secure de tempore et de sanctis,,,96 Bl.,,,,,,,
1066970106,Aa,Sermones Dormi secure de tempore et de sanctis,,,200 Bl.,,,,,,,
1066970114,Aa,Sermones Dormi secure de tempore et de sanctis,,,P. 1: 156 Bl. - P. 2: 208 Bl.,,,,,,,
1066970130,Aaf,Scala coeli,,,168 Bl.,,,,,,,
1066970157,Aa,Summa collationum sive Communiloquium,,,80 Bl.,,,,,,,
1066970165,Aaf,Historia trium regum,,,110 Bl.,,,,,,,
1066970181,Aa,Catholicon,,,373 Blätter,,,,,,,
106697019X,Aa,Catholicon,,,372 Bl.,,,,,,,
106697022X,Aa,Catholicon,,,328 Bl.,,,,,,,
1066970238,Aa,Catholicon,,,394 Bll.,,,,,,,
1066970246,Aaf,Epigrammata,,,20 Bl.,,,,,,,
1066970254,Aaf,Mammotrectus super Bibliam,,,129 Bl.,,,,,,,
1066970262,Aaf,Mammotrectus super Bibliam,,,204 Bl.,,,,,,,
1066970289,Aaf,Mammotrectus super Bibliam,,,206 Bl.,,,,,,,
1066970319,Aaf,Concordantiae Bibliae et Canonum,,,98 Bl.,,,,,,1268958956,Qd
1066970335,Aaf,De antiquitate Iudaica,,,288 Bl.,,,,,,,
1066970343,Aaf,De bello Judaico,,,214 Bl.,,,,,,,
1066970378,Aaf,Klagen und nützliche Lehre aus gemeinen beschriebenen Rechten der kaiserlichen Gesetze,,,236 Bl.,,,,,,,
1066970394,Aaf,"Klagen, Antworten und Urteile, gezogen aus geistlichen und weltlichen Rechten",,,180 Bl.,,,,,,,
1066970416,Aaf,Summarium textuale et conclusiones super Clementinas et Decretales extravagantes Johannis XXII,,,108 Bl.,,,,,,,
1066970424,Aaf,Summarium textuale et conclusiones super Sextum,,,256 Bl.,,,,,,,
1066970432,Aa,Die @Cronica van der hilliger stat van Coellen,,,368 Bl.,,,,,,,
1066970467,Aa,Opera,,,148 Bl.,,,,,,1268940860,Qd
1066970475,Aaf,Opera,,,214 Bl.,,,,,,,
1066970491,Aaf,Repertorium utriusque iuris,,,P. 1: 262 Bl. - P. 2: 268 Bl. - P. 3: 280 Bl.,,,,,,,
1066970505,Aaf,De fraternitate et rosario beatae Mariae virginis,,,26 Bl.,,,,,,,
1066970513,Aaf,Speculum conscientiae et novissimorum,,,22 Bl.,,,,,,,
1066970572,Aaf,Sermones,,,106 Bl.,,,,,,,
1066970599,Aaf,Sermones aurei de sanctis,,,432 Bl.,,,,,,,
1066970602,Aaf,Sermones quadragesimales de legibus dicti,,,350 Bl.,,,,,,,
1066970610,Aa,Sermones quadragesimale de legibus,,,312 Bl.,,,,,,,
1066970653,Aaf,Sermones de sanctis,,,252 Bl.,,,,,,,
1066970661,Aaf,Vita Christi,,,P. 1: 196 Bl. - P. 2: 198 Bl.,,,,,,,
106697067X,Aaf,Iter ad Terram Sanctam,,,34 Bl.,,,,,,,
1066970688,Aaf,Germanorum veterum principum zelus et fervor in Christianam religionem Deique ministros,,,28 Bl.,,,,,,,
1066970696,Aaf,Regula monachorum ex epistolis Hieronymi collecta,,,175 Bl.,,,,,,,
106697070X,Aaf,Quaestiones super tota philosophia naturali,,,164 Bl.,,,,,,,
1066970718,Aaf,Quaestiones super totum cursum logicae,,,184 Bl.,,,,,,,
1066970726,Aaf,De priscorum proprietate verborum,,,348 Bl.,,,,,,,
1066970734,Aaf,De componendis versibus hexametro et pentametro,,,34 Bl.,,,,,,,
1066970742,Aaf,Scribendi orandique modus,,,46 Bl.,,,,,,,
1066970750,Aaf,Manuale confessorum metricum. Censurae ecclesiasticae archiepiscopatus Coloniensis. Mare magnum ac defensorium privilegii quattuor ordinum mendicantium super audientia confessionis,,,[192] Bl.,,,,,,,
1066970807,Aaf,Buch der zehn Gebote,,,82 Bl.,,,,,,,
1066970823,Aaf,Epigrammata,,,170 Bl.,,,,,,,
1066970831,Aaf,De componendis versibus hexametro et pentametro,,,28 Bl.,,,,,,,
1066970866,Aa,Sermones de tempore et de sanctis sive Hortulus reginae,,,P. 1: 154 Bl. - P. 2: 202 Bl. - P. 3: 132 Bl.,,,,,,,
1066970874,Aaf,Vocabularius praedicantium sive Variloquus,,,170 Bl.,,,,,,,
1066970882,Aa,Vocabularius praedicantium sive Variloquus,,,172 Bl.,,,,,,,
1066970890,Aaf,Revelationes divinae a sanctis angelis factae,,,46 Bl.,,,,,,,
1066970912,Aaf,Sermonarium de peccatis per adventum et per duas quadragesimas,,,P. 1: 286 Bl. - P. 2: 162 Bl.,,,,,,,
1066970920,Aa,Sermonarium de peccatis per adventum et per duas quadragesimas,,,P. 1: 174 Bl. - P. 2: 100 Bl.,,,,,,,
1066970939,Aaf,Sermonarium per quadragesimam de commendatione virtutum et reprobatione vitiorum,,,266 Bl.,,,,,,,
1066970947,Aaf,Missale dominicanum seu ordinis praedicatorum,,,212 Bl.,,,,,,,
1066970955,Aaf,Missale Moguntinum,,,304 Bll.,,,,,,,
1066970971,Aaf,Missale Olomucense,,,371 Bl.,,,,,,,
106697098X,Aaf,Modus legendi abbreviaturas [u.a.],,,126 Bl.,,,,,,,
1066971005,Aaf,De horis canonicis dicendis,,,60 Bl.,,,,,,,
1066971013,Aaf,Vocabularius,,,152 Bl.,,,,,,1268940054,Qd
106697103X,Aaf,Supplementum Summae Pisanellae,,,420 Bl.,,,,,,,
1066971064,Aa,Biblia pauperum,,,102 Bl.,,,,,,,
1066971072,Aa,Biblia pauperum,,,40 Bll.,,,,,,,
1066971080,Aaf,Exempla Sacrae Scripturae [Virtutum vitiorumque exempla],,,104 Bl.,,,,,,,
1066971099,Aaf,Auslegung der Psalmen,,,404 Bll.,,,,,,,
1066971102,Aaf,Postilla super totam Bibliam,,,"1286 Bl. (P. 1: Genesis-Reges, P. 2: Paralipomena-Psalmi, P. 3: Proverbia-Machabaei, P. 4: Evangelia-Apocalypsis)",,,,,,,
1066971110,Aa,Postilla super totam Bibliam,,,P. 1: 432 Bl. - P. 2: 507 (Variante: 506) Bl.,,,,,,,
1066971161,Aaf,Repertorium in postillam Nicolai de Lyra super vetus et novum testamentum,,,124 Bl.,,,,,,,
1066971196,Aal,Sermones de tempore et de sanctis sive Viridarius,,,478 Bl.,,,,,,,
1066971226,Aaf,De morali lepra,,,104 Bl.,,,,,,,
1066971242,Aa,Praeceptorium divinae legis sive Expositio decalogi,,,332 Bl.,,,,,,,
1066971250,Aa,Praeceptorium divinae legis sive Expositio decalogi,,,262 Bl.,,,,,,,
1066971293,Aaf,Stern des Meschiah,,,322 Bl.,,,,,,,
1066971307,Aaf,De proprietate latini sermonis,,,194 Bl.,,,,,,,
1066971315,Aaf,Consilia et quaestiones,,,298 Bl.,,,,,,,
1066971323,Aaf,Die @vierundzwanzig Alten oder Der goldne Thron,,,118 Bl.,,,,,,,
106697134X,Aaf,Super secunda parte Infortiati,,,220 Bl.,,,,,,,
1066971358,Aaf,Scrutinium scripturarum,,,218 Bl.,,,,,,,
1066971374,Aaf,Expositio librorum naturalium Aristotelis,,,168 Bl.,,,,,,,
1066971390,Aaf,De remediis utriusque fortunae,,,166 Bl.,,,,,,,
1066971404,Aaf,Opera latina,,,389 Bl.,,,,,,,
1066971412,Aaf,De conceptione virginis Mariae,,,40 Bl.,,,,,,,
1066971420,Aaf,Historia scholastica,,,254 Bl.,,,,,,,
1066971439,Aal,Historia scholastica,,,232 Bl.,,,,,,,
1066971447,Aaf,Quaestiones super libros Sententiarum,,,178 Bl.,,,,,,,
1066971455,Aaf,De oculo morali,,,62 Bl.,,,,,,,
1066971463,Aa,Sermones thesauri novi de sanctis,,,310 Bl.,,,,,,,
1066971471,Aaf,Sermones quadragesimales Thesauri novi,,,136 ungezählte Blätter,,,,,,1268947474,Qd
106697148X,Aa,Sermones thesauri novi de sanctis,,,256 Bl.,,,,,,,
1066971536,Aaf,Sententiarum libri IV,,,266 Bl.,,,,,,,
1066971544,Aa,Sententiarum libri IV,,,170 Bl.,,,,,,,
1066971552,Aa,Sententiarum libri IV,,,230 Bl.,,,,,,,
1066971560,Aa,Sententiarum libri IV,,,280 Bl.,,,,,,,
1066971617,Aa,Epistolae familiares,,,348 Bl.,,,,,,,
1066971625,Aaf,De honesta voluptate et valetudine,,,94 Bl.,,,,,,,
1066971633,Aaf,"Opera, lat.",,,448 Bl.,,,,,,,
106697165X,Aaf,Historia naturalis,,,268 Bl.,,,,,,,
1066971676,Aaf,Vitae illustrium virorum,,,P. 1: 296 Bl. - P. 2: 238 Bl.,,,,,,,
1066971706,Aaf,Poeniteas cito,,,18 Bl.,,,,,,,
1066971773,Aal,Processus iudiciarius Mascaron contra genus humanum sive Tractatus procuratoris editus sub nomine diaboli,,,10 Bl.,,,,,,1268947989,Qd
1066971781,Aaf,Epigrammata de virtutibus et vitiis,,,24 Bl.,,,,,,,
1066971803,Aa,"Psalterium, lat. und. dt.",,,126 Bl.,,,,,,,
1066971811,Aaf,Psalterium latinum,,,280 Bl.,,,,,,,
1066971846,Aaf,Institutiones oratoriae,,,206 Bl.,,,,,,1268947210,Qd
1066971854,Aa,Institutiones oratoriae,,,248 Bl.,,,,,,,
1066971862,Aaf,Vita di S. Catarina da Siena,,,152 Bl.,,,,,,,
1066971870,Aaf,Theologia naturalis sive Liber creaturarum,,,162 Bl.,,,,,,,
1066971889,Aa,"Theologia naturalis, sive liber creaturarum",,,256 Bl.,,,,,,,
1066971897,Aa,"Aurea Biblia, sive Repertorium aureum Bibliorum",,,130 Bl.,,,,,,,
1066971900,Aaf,"Ephemerides, 1475-1506",,,448 Bl.,,,,,,,
1066971919,Aa,Epitoma in Almagestum Ptolemaei,,,110 Bl.,,,,,,,
1066971935,Aaf,Fagifacetus sive De moribus et facetiis mensae,,,20 Bl.,,,,,,,
1066971951,Aa,Pantheologia sive Summa universae theologiae,,,P. 1: 308 Bl. - P. 2: 322 Bl.,,,,,,,
106697196X,Aaf,De laudibus Mariae,,,214 Bl. + 1 Bl (nach Bl. h2),,,,,,1138380822,Qd
1066971978,Aaf,De laudibus Mariae,,,300 Bl.,,,,,,,
1066971994,Aa,Spiegel der wahren Rhetorik,,,188 Bl.,,,,,,,
1066972001,Aaf,Super sapientiam Salomonis,,,242 Bl.,,,,,,,
106697201X,Aaf,Speculum vitae humanae,,,128 Bl.,,,,,,,
1066972028,Aal,Speculum vitae humanae,,,108 Bl.,,,,,,,
1066972044,Aa,Fasciculus temporum,,,74 Bl.,,,,,,,
1066972052,Aa,Fasciculus temporum,,,96 Bl.,,,,,,,
1066972060,Aa,Fasciculus temporum,,,96 Bl.,,,,,,,
1066972079,Aaf,Enneades ab orbe condito,,,478 Bl.,,,,,,,
1066972087,Aaf,Glossae ex illustrissimis auctoribus collectae,,,290 Bl.,,,,,,,
1066972095,Aaf,Oratio lamentabilis ad Papam Sixtum IV.,,,22 Bl.,,,,,,,
1066972109,Aa,Liber chronicarum,,,368 Bl.,,,,,,,
1066972141,Aa,Das @Buch der Croniken und Geschichten,,,297 Bl.,,,,,,,
1066972168,Aa,Epistolae longiores,,,22 Bl.,,,,,,,
1066972206,Aa,Sermones de tempore et de sanctis,,,P. 1: 288 Bl. - P. 2: 140 Bl.,,,,,,,
1066972214,Aaf,Sermones de tempore et de sanctis,,,344 Bl.,,,,,,,
1066972222,Aaf,Statuta provincialia Moguntinensia,,,52 Bl.,,,,,,,
1066972249,Aaf,Statuta provincialia Moguntinensia,,,52 Bl.,,,,,,,
1066972265,Aaf,Statuta synodalia Eystettensia cum statutis provincialibus Moguntinis,,,96 Bl.,,,,,,,
106697229X,Aaf,Almanach nova in annos 1499-1531,,,520 Bl.,,,,,,,
1066972354,Aaf,Tractatus bipartitus de Deo homine facto,,,80 Bl.,,,,,,,
1066972389,Aa,Opera,,,178 Blätter,,,,,,,
1066972400,Aaf,Die @wahre Nachfolgung Christi,,,198 Bl.,,,,,,,
1066972435,Aaf,Catena aurea super quattuor evangelistas,,,528 Bl.,,,,,,,
1066972443,Aaf,De articulis fidei et ecclesiae sacramentis,,,13 Bl.,,,,,,,
1066972451,Aaf,De corpore Christi (Pseudo-). Expositio orationis dominicae,,,30 Bl.,,,,,,,
1066972478,Aaf,De eucharistia ad modum decem praedicamentorum sive De corpore Christi,,,22 Bl.,,,,,,,
1066972494,Aaf,De venerabili sacramento sermones XXXII,,,46 Bl.,,,,,,1268960594,Qd
1066972508,Aaf,De veritate,,,484 Bl.,,,,,,,
1066972524,Aaf,Expositio (Postilla) in Job,,,107 Bl.,,,,,,,
1066972532,Aa,Quaestiones de duodecim quodlibet,,,136 Bl.,,,,,,,
1066972540,Aa,Quaestiones de duodecim quodlibet,,,154 Bl.,,,,,,,
1066972559,Aaf,Scripta ad Hanibaldum episcopum super quattuor libros Sententiarum,,,154 Bl.,,,,,,,
1066972567,Aaf,Summa contra gentiles sive De veritate catholicae fidei,,,248 Bl.,,,,,,,
1066972591,Aaf,"Summa theologiae, P. 1",,,190 Bl.,,,,,,1268949337,Qd
1066972621,Aaf,Summa theologiae,"P. 2,2",,248 Bl.,,,,,,,
106697263X,Aa,Summa theologiae,"P. 2,2",,291 Bl.,,,,,,,
1066972656,Aaf,"Summa theologiae, P. 3",,,270 Bl.,,,,,,,
1066972664,Aaf,Summa theologiae,P. 3,,230 Bl.,,,,,,,
1066972702,Aaf,Super primo libro Sententiarum,,,150 Bl.,,,,,,,
1066972710,Aaf,Super quarto libro Sententiarum,,,274 Bl.,,,,,,,
1066972737,Aaf,Super quarto libro Sententiarum,,,310 Bl.,,,,,,,
1066972753,Aaf,Dicta super Summulas Petri Hispani,,,222 Bl.,,,,,,,
106697277X,Aaf,Büchlein der Titel aller Stände,,,28 Bl.,,,,,,,
106697280X,Aaf,Modus legendi abbreviaturas in utroque iure,,,46 Bl.,,,,,,,
1066972834,Aa,Tractatus quidam de Turcis,,,24 Bl.,,,,,,,
1066972850,Aaf,Catalogus illustrium virorum,,,88 Bll.,,,,,,126894694X,Qd
1066972869,Aaf,De laude scriptorum,,,20 Bl.,,,,,,,
1066972877,Aaf,De laudibus s. Annae,,,32 Bl. a-d6 e8,,,,,,,
1066972893,Aaf,De proprietate monachorum,,,18 Bl.,,,,,,,
1066972907,Aaf,"De republica ecclesiae et monachorum ordinis divi patris Benedicti, Köln, 1. September 1493",,,10 Bl.,,,,,,,
1066972923,Aaf,De statu et ruina monastici ordinis,,,32 Bl.,,,,,,,
1066972931,Aaf,De triplici regione claustralium et de spirituali exercitio novitiorum,,,98 Bl.,,,,,,,
1066972958,Aaf,De vanitate et miseria vitae humanae,,,22 Bl.,,,,,,,
1066972966,Aaf,Facta et dicta memorabilia,,,160 Bl.,,,,,,,
1066972974,Aa,Facta et dicta memorabilia,,,210 Bl.,,,,,,,
1066972982,Aaf,Palinurus,,,38 Bl.,,,,,,,
1066973016,Aaf,Opera,,,354 Bl.,,,,,,,
1066973024,Aaf,"Versehung von Leib, Seele, Ehre und Gut",,,182 Bl.,,,,,,,
1066973032,Aaf,Speculum doctrinale,,,402 Bl.,,,,,,,
1066973040,Aa,Speculum historiale,,,P. 1: 170 Bl. - P. 2: 206 Bl. - P. 3: 202 Bl. - P. 4: 214 Bl.,,,,,,,
1066973059,Aa,Speculum historiale,,,P. 1: 156 Bl. - P. 2: 176 Bl. - P. 3: 175. - P. 4: 192 Bl.,,,,,,,
1066973067,Aaf,Speculum morale,,,477 Bl.,,,,,,,
1066973083,Aa,Speculum naturale,,,P. 1: 370 Bl. - P. 2: 328 Bl.,,,,,,,
1066973091,Aaf,De fine mundi,,,16 Bl.,,,,,,,
1066973105,Aa,De fine mundi,,,12 Bl.,,,,,,,
1066973113,Aaf,Viola sanctorum,,,108 Bl.,,,,,,,
1066973121,Aaf,"Vocabularius, lat. und dt.",,,291 Bl.,,,,,,,
1066973148,Aaf,"Vocabularius, lat. und dt.",,,126 Bl.,,,,,,,
1066973156,Aaf,Vocabularius de partibus indeclinabilibus,,,54 Bl.,,,,,,,
1066973164,Aaf,Vocabularius Ex quo,,,166 Bl.,,,,,,,
1066973172,Aaf,Vocabularius ex quo,,,170 Bll.,,,,,,,
1066973180,Aa,Sermones de tempore,,,266 Bl.,,,,,,,
1066973199,Aaf,Elegantiarum medulla oratoriaque praecepta,,,34 Bll.,,,,,,126894694X,Qd
1066973202,Aaf,Philippica in laudem et defensionem Philippi comitis Rheni Palatini Bavariae ducis,,,14 Bl.,,,,,,,
1066973210,Aaf,Epitoma bellorum Alberti Saxoniae ducis,,,58 Bl.,,,,,,,
1066973229,Aaf,Translationen etlicher Bücher,,,252 Bl.,,,,,,,
1066973288,Aaf,Rhetorica pro conficiendis epistolis accomodata,,,24 Bl.,,,,,,,
1066973296,Aa,De salute corporis,,,24 Blätter,,,,,,,
106697330X,Aaf,Psalterium cum canticis,,,137 Bl.,,,,,,,
1066973350,Aaf,Compendium theologicae veritatis,,,188 Bl.,,,,,,,
1066973369,Aaf,De beatitudine aeternitatis,,,36 Bl.,,,,,,,
1066973377,Aaf,De anima et spiritu. Add: De ebrietate. De vanitate saeculi. De vita christiana. De sobrietate. De quattuor virtutibus caritatis. De contritione cordis,,,76 Bl.,,,,,,,
106697344X,Aa,Homiliae super Homiliae super Matthaeum,,,76 Bl.,,,,,,1268958271,Qd
106707564X,Af,,,Opera ,"1, 116, 42, 12, 121, [2] Bl.",Pt. 4, [Enth. außerdem: Werke von Theophrastus und Alexander <Aphrodisiensis>],,,,,
1067300287,Aal,Breviarium Moguntinum,,,"8 Bl., 8 Bl., 57 Bl., 86 Bl., 24 Bl., 68 Bl., 72 Bl., 22 Bl.",,,,,,,
1067300988,Afl,,,Der @Heiligen Leben,181 Blätter ,2.,Sommerteil,,,,,
1067336133,Afl,,,Summa theologica,254 Bl.,P.1.,,,,,,
1067336222,Afl,,,Summa theologica,322 Bl.,P.2.,,,,,,
1067336257,Afl,,,Summa theologica,464 Bl..,P.3.,,,,,,
1067336281,Afl,,,Summa theologica,338 Bl.,P.4.,,,,,,
1067339086,Aal,De obsidione urbis Rhodiae ad Fridericum imperatorem,,,"1 Bl., eins. bedr.",,,,,,,
1067434755,Aal,De psalmodia perficienda et modo legendi in choro,,,2 Bl. [a²],,,,,,,
1067435948,Aal,Catholicon,,,522 Bl.,,,,,,,
1067436936,Aal,Warumb klaidest du dich so in manniger Gestalt,,,1 Bl. einseitig bedr.,,,,,,,
1067438289,Aal,Missale Aboense secundum ordinem fratrum praedicatorum,,,267 Bl.,,,,,,,
1067438548,Aal,Rituale Upsalense,,,94 Bl.,,,,,,,
1067439005,Aal,Missale  Strengense,,,275 Bl.,,,,,,,
1067439137,Aal,Breviarium Lincopense,,,"18, 74, 168, 184 Bl.",,,,,,,
1067439188,Aal,Breviarium Scarense,,,"8, 84, 364, 34, 6, 24 Bl.",,,,,,,
1067439234,Aal,Breviarium Herbipolense,,,"6, 4, 32, 4, 24, 70, 67, 146 Bl.",,,,,,,
1067439250,Aal,Missale Herbipolense,,,384 Bl.,,,,,,,
1067439293,Aal,Pentateuchus,,,221 Blätter,,,,,,,
106760877X,Aa,BReuiariũ #[s]m|| ritum alme eccle=||sie Arosien=||sis.||,,,"[16], 163, [1], 67, [1], 208 Bl.",,,,,,,
1069014885,Af,Hieronymus,Sophronius Eusebius,Epistolae,[298] Bl,1.,,,,,,
106901494X,Af,Hieronymus,Sophronius Eusebius,Epistolae,[331] Bl.,2.,,,,,,
1069138924,Aaf,De laudibus s. Annae,,,32 Bl. A-D6 E8,,,,,,,
1072051036,Aa,De  operatione divini amoris,,,14 Bl.,,,,,,,
1072051486,Aa,Cursus hinc inde collecti,,,202 Bl.,,,,,,,
107205194X,Aa,Missale Augustanum,,,258 Bl.,,,,,,,
1072052393,Aal,Von dem Psalter unserer lieben Frau,,,70 Bl.,,,,,,,
1072053101,Aa,"Die @guldin Bull. Add: Fridericus III, Reformation und Ordnung vom 14. August 1442",,,76 Bl.,,,,,,,
1072053705,Aa,Vita S. Brunonis,,,,,,,,,,
1072054698,Aa,De periculis contingentibus,,,6 Bl.,,,,,,,
1072055228,Aa,Postilla super epistolas et evangelia,,,174 Bl.,,,,,,,
1072057565,Aa,Legenda aurea sanctorum sive Lombardica historia,,,370 Bl.,,,,,,,
1072057948,Aa,De corpore christi,,,22 Bl.,,,,,,,
107205812X,Aa,Cornutus,,,64 Bl.,,,,,,,
1072058391,Aa,Sermones de sanctis,,,286 Bl.,,,,,,,
107205888X,Aa,Epistolae,,,48 Bl.,,,,,,,
1072059312,Aa,Expositio super toto psalterio,,,202 Bl.,,,,,,,
1072059665,Aa,De vita spirituali,,,20 Bl.,,,,,,,
1072060000,Aa,Beichtbüchlein,,,17 Bl.,,,,,,,
1072060566,Aa,Speculum sacerdotum,,,10 Bl.,,,,,,,
1072060930,Aa,Missale Salisburgense,,,390 (?) Bl.,,,,,,,
1072061481,Aa,Brief an Herzog Sigmund von Österreich betr. die Herrschaft Hohenberg,,,4 Bl.,,,,,,,
1072062526,Aa,Dis @buch ist innhaltend die heilige[n] reysen gein Jherusalem zu dem heiligen Grab vnd furbaß zu der hochgelobten jungfrowen vnd merteryn sant katheryn,,,112 Bl.,,,,,,,
1072063859,Aa,Mariale,,,66 Bl.,,,,,,1138380822,Qd
1072064456,Aa,Speculum iudiciale,,,"Pt.1: 262 Bl., Pt. 2: 398 Bl., Pt. 3: 46 Bl., Pt. 4: 350 Bl.",,,,,,,
1072097877,Aa,Statuta et pacta communis Brixiae,,,310 Bl.,,,,,,,
1072098342,Aa,Vitas Patrum,,,76 Bl.,,,,,,,
1072098903,Aa,Ars praedicandi,,,12 Bl.,,,,,,,
1072099748,Aa,De instantia,,,10 Bl.,,,,,,,
1072100134,Aa,Summa de ecclesia,,,262 Bl.,,,,,,,
1072100355,Aa,Sommola di pacifica coscienza,,,244 Bl.,,,,,,,
1072101181,Aa,De bello Hispano,,,86 Bl.,,,,,,,
1072101475,Aa,Statuta Mediolani. [Daran:] Tabula statutorum,,,220 Bl.,,,,,,,
1072105233,Aa,"Vitae imperatorum, sive De vita illustrium virorum",,,58 Bl.,,,,,,,
1072105721,Aa,De civitate dei,,,298 Bl.,,,,,,,
1072106345,Aa,Homiliae in Evangelia,,,142 Bl.,,,,,,,
1072106558,Aa,De anima,,,36 Bl.,,,,,,,
1072106795,Aa,Summa in virtutes cardinales,,,296 Bl.,,,,,,,
1072108216,Aa,Opera,,,354 Bl.,,,,,,,
1072111624,Aa,Repetitiones et disputationes,,,20 Bl.,,,,,,,
1072112019,Aa,Carmina differentialia,,,58 Bl.,,,,,,,
1072153890,Aa,Historia Romana,,,18 Bl.,,,,,,,
1072153998,Aa,Anterotica sive De amoris generibus,,,104 Bl.,,,,,,,
1072154080,Aa,Super primum sententiarum,,,246 Bl.,,,,,,,
1072154773,Aa,Commentarius in secundum librum Sententiarum Petri Lombardi,,,334 Bl.,,,,,,,
