idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,012720747,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,012720771,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,01272078X,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,012722677,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,013042467,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,013042475,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,013042483,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,012939498,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,011193050,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,99340474X,,017720826,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,013018086,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,011950552,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,012720747,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,012720771,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,01272078X,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,012722677,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,013042467,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,013042475,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,013042483,,
010146725,Abvz,Allgemeiner typographischer Monats-Bericht für Teutschland,"zum Behuf aller Ankündigungen, Anzeigen und Notizen des teutschen Buch- und Kunsthandels",,,,,1046052918,,012939498,,
