idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1001278518,Aal,1740,Historie derer Dreßdnischen Buchdrucker,,,,,,,,1044992719,Qd
1001292707,Aal,1817,Verzeichniß der von dem verstorbenen Ecclesiast Herrn Scholz zu Breslau hinterlassenen höchst ansehnlichen Sammlung von Büchern ... welche den 2ten Juni u. folgende Tage 1817 ... durch den Auctions=Commisarius J. E. Pfeiffer ... versteigert werden sollen,,,,,,,,,
1001317912,Ha,1796,[Kontobuch m. Einträgen u.a. über d. Leipziger Buchhändler Friedrich Gottlob Jacobäer u. Christian Gottlob Weigel sowie über d. Windpapiermüller Joh. Christoph Ludwig auf d. Papiermühle bei Stötteritz],,,,,,,,,
1001376757,Aal,1640,Bericht von Erfindung der Buch Truckerey in Straßburg,,,,,,,,1044992719,Qd
1001445937,Afl,1739,Schwarz,Christian Gottlieb,De origine typographiae,P. 1.,/ [Resp.:] Benedikt Wilhelm Munch,,,,,
1001445953,Afl,1739,Schwarz,Christian Gottlieb,De origine typographiae,P. 2.,/ [Resp.:] Jo. Wilhelm Schaubert,,,,,
100144597X,Afl,1740,Schwarz,Christian Gottlieb,De origine typographiae,P. 3.,/ [Resp.:] Gustav Philipp Negelein,,,,,
1001451651,Aal,1750,"Johann Heinrich Schusters historisch - critische Untersuchung der Meynungen vom Autore der 1529 zu Wittenberg herausgekommenen Lateinischen Bibel, nach welcher solche ...",,,,,,,,,
1001476883,Aal,1760,"Catalogus derjenigen Schriften, welche bey Ioh. Christian Langenheim zu haben sind",,,,,,,,,
1001522354,Afl,1781,Semler,Johann Salomo,Johann Salomo Semlers Lebensbeschreibung von ihm selbst abgefaßt,1,,,,,,
100153171X,Aal,1799,Die @älteste Urkunde der Papierfabrikation in der Natur entdeckt nebst Vorschlägen zu neuen Papierstoffen,,,,,,,,,
1001653750,Aal,1693,"Catalogus insignium in quavis facultate & lingua librorum, praecipue theologorum medicorum et literatorum, ex instructissima bibliotheca D. Theodori Sismi, apud Rotterodamenses dum viveret medicinae Doctoris et practici felicissimi","Quorum auctio habebitur Rotterodami in aedibus Petri vander Slaart, die Mercurii 13 Maji 1693",,,,,,,,
100178085X,Aal,1825,Verzeichniß der Bücher-Sammlung des verstorbenen,,,,,,,,,
1001821769,Aal,1784,Stampf-Papier-Ordnung,6. Juli 1753,,,,,,,,
1001872924,Aal,1741,"Des ... @Johann Stäpsens in Leipzig, nach einer netten Dreßdner Hand eingerichtete Fundamental-Vorschriftten",,,,,,,,,
1001873335,Aal,1746,[Schreibmeisterblätter],,,,,,,,,
1001874102,Hal,1773,Der @getreue|| Schreibemeister||,,,,,,,,,
1001925521,Aal,1787,"Literarisch-kritische Abhandlung über die zwo allerälteste gedruckte deutsche Bibeln, welche in der kurfürstl[ichen] Bibliothek in München aufbewahrt werden",mit Anhange u. 4 Kupfertaf.,,,,,,,,
1001937503,Aal,1825,Vollständiger Schreibunterricht,"Theoret. u. prakt., mit bes. Rücks. auf Elementarschulen ; nebst 2 kalligraph. Wandfibeln dt. Kurrenschr. u. 1 Kupfer",,,,,,,,
1001938372,Aal,1830,Monogrammenlexikon für den Handgebrauch,,,,,,,,,
1002008700,Aal,1741,Geographische und historische Vorschrifften,mit sonderbarem Fleiß colligiret von einem Liebhaber der edlen Schreibe-Kunst,,,,,,,,
100209366X,Aal,1600,[Leichenpredigten],[Sammelbd. v. Leichenpredigten u. Abdankungsreden zur Familiengeschichte],,,,,,,,
1002477239,Aal,1692,"Catalogus variorum insignium rarissimorumque librorum, in omni materia & lingua, inter quos extant juridici, theologici & historici, instructissimique viri Dni",,,,,,,,,
1002507545,Aal,1795,Catalogus bibliothecae B. Caroli Frid[erici] Trier ... una cum adpendice librorum ex quovis genere praestantissimorum a.d. 24. Febr. 1796 in Collegio rubro publica auctione vendendorum,,,,,,,,,
1002563631,Aal,1727,Danielis Guil. [Wilhelm] Molleri Dissertatis de typographis,,,,,,,,,
1002571510,Aal,1820,Verhandeling over de uitvinding der boekdruk-konst,,,,,,,,,
