idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
994162316,Afl,1810,Bertin,Théodore Pierre,"La @Science en miniature où collection des arts et métiers utilies, mise à la portée de la jeunesse; ouvr. imité de l'Anglaise sur la 3. éd., et enrichi de 24 grav. en taille-douce, ainsi que de la description de différens proc. nouv. suivis en Angleterre",2,,,,,,
994193998,Aal,1828,"Die @Bibel, oder die ganze Heilige Schrift des alten und neuen Testaments, nach der deutschen Übersetzung Martin Luthers",,,,,,,,,
994194641,Aal,1826,Wegweiser in der Provinzial-Hauptstadt Innsbruck und deren Umgebung für Reisende,,,,,,,,,
994248040,Afl,1827,Blumauer,Alois,Aloys Blumauer's sämmtliche Gedichte,1,,,,,,
994248083,Afl,1827,Blumauer,Alois,Aloys Blumauer's sämmtliche Gedichte,2,,,,,,
994248105,Afl,1827,Blumauer,Alois,Aloys Blumauer's sämmtliche Gedichte,3,,,,,,
99424813X,Afl,1827,Blumauer,Alois,Aloys Blumauer's sämmtliche Gedichte,4,,,,,,
994308132,Aal,1813,"Sketches of the country, character, and costume, in Portugal and Spain, made during the campaign and on the route of the British Army in 1808 and 1809",,,,,,,,,
994334265,Aal,1810,Traité de l'année juive antique et moderne,Suivi d'une ode hébraique à la louange de ... : Napoléon le Grand avec sa trad. en vers français,,,,,,,,
994336985,Aal,1817,"Viktoria und ihre Geschwister, mit fliegenden Fahnen und brennender Lunte",mit e. Tit. Kupf. u. mehreren Musikbeil. ,,,,,,,,
994367821,Aal,1823,Varia canenti ut placidam praebeatis aurem vogat Car[olo] Poppo Froebel,,,,,,,,,
994402244,Afl,1816,Bürger,Gottfried August,Gottfried August Bürger's Gedichte,1.,,,,,,
994402260,Afl,1816,Bürger,Gottfried August,Gottfried August Bürger's Gedichte,2.,,,,,,
99440235X,Afl,1827,Bürger,Gottfried August,[Gottfried August] Bürgers Gedichte,2,,,,,,
994402619,Aal,1830,Die @Bürger unter dem Pantoffel,[polit. Flugblatt. Karikatur auf d. Unterdrückg d. sächs. Bevölkerg durch d. Präsidenten Ende u. seine Beamten],,,,,,,,
994402759,Afl,1825,Bürger,Gottfried August,G[ottfried] A[ugust] Bürger's Lehrbuch der Ästhetik,1,,,,,,
994402775,Afl,1825,Bürger,Gottfried August,G[ottfried] A[ugust] Bürger's Lehrbuch der Ästhetik,2,,,,,,
994403739,Aal,1817,Skizzen zu einem Gesetzbuche der Natur zu einer sinnigen Auslegung desselben und zu einer hieraus hervorgehenden Characteristik der Natur,mit 2 Kupfertaf.,,,,,,,,
994405154,Aal,1818,"Tableau de la campagne d'automne de 1813, en Allemagne, depuis la rupture de l'armistice jusqu'au passage du Rhin par l'armée française",avec une carte topogr. des environs de Leipzig,,,,,,,,
994407815,Afl,1818,Campe,Joachim Heinrich,"Le @nouveau Robinson, pour servir à l'amusement et à l'instruction des enfans de l'un et de l'autre sexe",1.,,,,,,
994407823,Afl,1818,Campe,Joachim Heinrich,"Le @nouveau Robinson, pour servir à l'amusement et à l'instruction des enfans de l'un et de l'autre sexe",2.,,,,,,
994417640,Afl,1830,Campe,Joachim Heinrich,Erste Sammlung merkwürdiger Reisebeschreibungen für die Jugend,10.,,,,,,
994417667,Afl,1830,Campe,Joachim Heinrich,Erste Sammlung merkwürdiger Reisebeschreibungen für die Jugend,11.,,,,,,
994417713,Afl,1830,Campe,Joachim Heinrich,Erste Sammlung merkwürdiger Reisebeschreibungen für die Jugend,12.,Mit e. Kt.,,,,,
994417993,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,1,,,,,,
994418000,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,2,,,,,,
994418035,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,3,,,,,,
994418132,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,4,,,,,,
994418167,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,5,,,,,,
994418183,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,6,,,,,,
994418221,Afl,1830,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,7,,,,,,
994427808,Aal,1820,"Časoslóv s bǧom sťym, ...",,,,,,,,,
99444799X,Afl,1826,Cervantes Saavedra,Miguel,Werke,9.,Lehrreiche Erzählungen,,,,,
99444821X,Afl,1826,Cervantes Saavedra,Miguel,Werke,10.,Lehrreiche Erzählungen,,,,,
994448384,Afl,1826,Cervantes Saavedra,Miguel,Werke,11.,Lehrreiche Erzählungen,,,,,
994448414,Afl,1826,Cervantes Saavedra,Miguel,Werke,12.,Lehrreiche Erzählungen,,,,,
994452896,Afl,1810,Cervantes Saavedra,Miguel,Don Quichotte de la Manche,1,,,,,,
994452918,Afl,1810,Cervantes Saavedra,Miguel,Don Quichotte de la Manche,2,,,,,,
994452926,Afl,1810,Cervantes Saavedra,Miguel,Don Quichotte de la Manche,3,,,,,,
994452934,Afl,1810,Cervantes Saavedra,Miguel,Don Quichotte de la Manche,4,,,,,,
994457421,Afl,1812,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,1.,,,,,,
994457553,Afl,1813,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,4,,,,,,
994457596,Afl,1813,Campe,Joachim Heinrich,Neue Sammlung merkwürdiger Reisebeschreibungen für die Jugend,5,,,,,,
994469985,Aal,1810,"A @History of the colleges, halls and public buildings, attached to the University of Oxford ...",,,,,,,,,
994494041,Aal,1826,The @Works of Lord [George Gordon Noe͏̈l] Byron,Complete in 1 vol.,,,,,,,,
994495331,Afl,1822,Byron,George Gordon Byron,Lord Byron's Poesien,9.,Ritter Harold's Pilgerfahrt,,,,,
994495498,Afl,1822,Byron,George Gordon Byron,Lord Byron's Poesien,10.,Ritter Harold's Pilgerfahrt,,,,,
994495641,Afl,1822,Byron,George Gordon Byron,Lord Byron's Poesien,11.,Ritter Harold's Pilgerfahrt,,,,,
994495889,Afl,1827,Byron,George Gordon Byron,Lord Byron's Poesien,22.,Don Juan,,,,,
994496451,Afl,1827,Byron,George Gordon Byron,Lord Byron's Poesien,24.,Die Insel,,,,,
994496729,Afl,1828,Byron,George Gordon Byron,Lord Byron's Poesien,31.,Don Juan,,,,,
994497199,Aal,1813,Ode an Napoleon,,,,,,,,,
994507429,Afl,1811,Buffon,Georges Louis Le Clerc,Nouveau Buffon de la jeunesse ou précis élémentaire d'histoire naturelle,1,,,,,,
994507461,Afl,1811,Buffon,Georges Louis Le Clerc,Nouveau Buffon de la jeunesse ou précis élémentaire d'histoire naturelle,2,,,,,,
994509073,Aal,1811,M[arci] Tullii Ciceronis de officiis ad Marcum filium libri tres,,,,,,,,,
994517807,Aal,1828,"A @Treatise on Cobbett's corn, containing instructions for propagating and cultivating the plant, and for harvesting and preserving the crop; and also an account of the several uses to which the produce is applied, ...",,,,,,,,,
994522886,Afl,1827,,,Les @six codes,1,,,,,,
994522924,Afl,1827,,,Les @six codes,2,,,,,,
994526768,Afl,1774,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],1/2,,,,,,
994526784,Afl,1777,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],3,,,,,,
994526806,Afl,1782,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],4,,,,,,
994526849,Afl,1789,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],5,,,,,,
994526911,Afl,1797,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],6,,,,,,
994526962,Afl,1812,Claudius,Matthias,Asmus omnia sua secum portans oder Sämmtliche Werke des Wandsbecker Bothen [d.i. Matthias Claudius],8.,Zugabe zu d. Sämmtl. Werken,,,,,
994540310,Afl,1812,Collin,Heinrich Joseph,Heinrich Joseph von Collin's sämmtliche Werke,1,,,,,,
994540329,Afl,1812,Collin,Heinrich Joseph,Heinrich Joseph von Collin's sämmtliche Werke,2,,,,,,
994540345,Afl,1812,Collin,Heinrich Joseph,Heinrich Joseph von Collin's sämmtliche Werke,3,,,,,,
994540361,Afl,1813,Collin,Heinrich Joseph,Heinrich Joseph von Collin's sämmtliche Werke,4,,,,,,
99454037X,Afl,1813,Collin,Heinrich Joseph,Heinrich Joseph von Collin's sämmtliche Werke,5,,,,,,
994544790,Aal,1817,"The @Tour of Doctor Syntax, in search of the picturesque",,,,,,,,,
994553943,Aal,1830,Augspurgske posnaczje kscheszijanskeje wojery ...,,,,,,,,,
99456306X,Aal,1820,Le @Langage des fleurs,,,,,,,,,
994564287,Aal,1830,Umrisse zu Dante's Paradies,,,,,,,,,
994567073,Aal,1811,Costume of the Russian empire,Ill. by upwards of 70 richly coloured engravings,,,,,,,,
994578989,Aal,1823,Beicht- und Communion-Buch von Johann Friedrich Heinrich Cramer,,,,,,,,,
994642342,Afl,1830,Czerny,Carl,Die @ersten Lectionen für Anfänger im Pianofortespiele,No. 1,,,,,,
994642369,Afl,1830,Czerny,Carl,Die @ersten Lectionen für Anfänger im Pianofortespiele,No. 2,,,,,,
994642598,Aal,1830,50 vierhändige Uebungsstücke für das Pianoforte,in fortschreitender Ordnung mit Bezeichnung d. Fingersatzes ; eine pract. Pianoforteschule zu vier Händen,,,,,,,,
994661061,Aal,1824,Das @Neue Leben - Die Vita nuova des Dante Alighieri,,,,,,,,,
994704453,Aal,1816,"Denkschrift der Handelskammer zu Köln über die Aufhebung des Umschlags-Rechtes der Stadt Köln in Verbindung mit der ganz freien Schifffahrt auf dem Rheine, besonders in den Niederlanden",,,,,,,,,
994704720,Aal,1819,Königlicher Revisionshof in Berlin,Denkschrift zu der Sache Maximilian von Kempis gegen die Erbgenahmen von Braunfeld,,,,,,,,
