idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1068939532,Ha,15XX,"Passionale quatuor evangelistarum, liber primus, In quo, quae à Diacono, uel Euangelista cantari solent, continentur",,,,,,,,,
1068940808,Ha,1820,"Erinnerungskranz aus den Blüthenauen der Poesie, gewunden im Sommer 1820","[Sammlung von Abschriften von Gedichten Th. Körners, Goethes, Herders, Seumes u.a.]",,,,,,,,
1068941227,Ha,1831,[Gedichte],"[Abschriften von: Adalbert von Chamisso, Frauen-Liebe und Leben; Caroline Tobinsky, Die Liebe]",,,,,,,,
1069086517,Ha,1593,"[Stammbuch für Sebastian Dürrbeck von Dürrbach, 1593 [1589?] - 1607]",,,,,,,,,
1069089338,Ha,1811,Denkmaehler meiner Freunde,"[Stammbuch für Amalie Heinrich, Zwickau 1811 - 1837]",,,,,,,,
1069089931,Ha,1832,Erinnerungen an Freundschaft und Liebe,"[Stammbuch für August Fr. W. Arnold, Erfurt 1831 - 1833]",,,,,,,,
1069090441,Ha,1827,"[Stammbuch für Vogel, Wittenberg 1827 - 1836]",,,,,,,,,
1069091596,Ha,1550,Jhesus Syrach,,,,,,,,,
1069353116,Ha,1806,[Gedichte und Liedtexte],,,,,,,,,
1069359041,Qd,1656,[Adelsbrief und Porträt Nikolaus Pfretschner],,,,,,,,,
1069359246,Ha,1656,[Adelsbrief für Nikolaus Pfretschner],,,,,,,,1069359041,Qd
1069359602,Pa,1663,Nicolaus Pfretzschner,"Brustbild halblinks in Schmuckrahmen: von Amoretten getragene Kartuschen mit Wappen und emblematischen Darstellungen, darunter Inschrift: NICOLAUS Pfretschner in Troschenreuth, Ölsen et Trebnitz [...] spirensi gerendorum, Conslijs.; Custos bonus Angelus exstat.; Symb. Spes est in Sanguine Christi; Oculus circum-omnia-spectans.; Solem veneratur eundo.; Oculus, stans circumspectè [...] circu",,,,,,,1069359041,Qd
1069405108,Ha,1948,Orgelspiel,,,,,,,,,
1069521876,Ha,1913,Gregorius oder der gute Sünder,,,,,,,,,
1069523267,Ha,179X,[Katholisches Gebetbuch],,,,,,,,,
1069563927,Ha,1871,Tagebuch,,,,,,,,,
1069567531,Ha,1984,Fränkische Reise,September 1837 ; Auszüge aus seinen Reisenotizen,,,,,,,,
1069569747,Ha,1769,Alchymia vera,omnia mecum porto,,,,,,,,
1069644153,Ha,1847,"[Stammbuch eines Gymnasiasten, Erfurt 1847 - 1853]",,,,,,,,,
1069645176,Ha,1851,"[Stammbuch, Kirchberg 1851 - 1858]",,,,,,,,,
1069645923,Ha,1805,Andächtig und schönes Gebet Buch,mit verschiedenen Gebetern gezieret,,,,,,,,
1069651125,Ha,1913,Drei Gedichte in Prosa,,,,,,,,,
1072527677,Ha,1605,Francs Fantaivtvs De Terra Bastiae diocesis Assisien. ...,[Handschrift],,,,,,,,
1072529874,Ha,17XX,[Liturgische Texte],,,,,,,,,
1072531062,Ha,1704,Portrait de la Cour de Pologne,,,,,,,,,
1080396438,Aa,15XX,[Ein @Gebet in Todesnöthen],,,,,,,,1060610671,Qd
1148993134,Ha,1900,[Palmblattmanuskript aus Birma],,,,,,,,,
1173360956,Ha,1810,Christian Peschecks So genannte Italiän- oder Welsche Practica,[Abschrift],,,,,,,,
