idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1066970998,Aa,Modus legendi abbreviaturas [u.a.],,,,,,,,,
1066971021,Aaf,Logica,,,,,,,,,
1066971048,Aaf,Supplementum Summae Pisanellae et Canones poenitentiales fratris Astensis,,,,,,,,,
1066971056,Aaf,Supplementum Summae Pisanellae et Canones poenitentiales fratris Astensis,,,,,,,,,
1066971161,Aaf,Repertorium in postillam Nicolai de Lyra super vetus et novum testamentum,,,,,,,,,
1066971188,Aaf,De sacramentis,,,,,,,,,
106697120X,Aaf,Lectura super V libris Decretalium,,,,,,,,,
1066971218,Aaf,Supplementum Summae Pisanellae ...,,,,,,,,,
1066971234,Aaf,Praeceptorium divinae legis sive Expositio decalogi,,,,,,,,,
1066971269,Aa,Sermones de tempore et de sanctis cum quadragesimali,,,,,,,,,
1066971277,Aaf,Die @vierundzwanzig goldenen Harfen,,,,,,,,,
1066971331,Aaf,Heroides,,,,,,,,,
1066971366,Aaf,Scrutinium scripturarum,,,,,,,,,
1066971382,Aaf,Bulla 19. 4. 1470 Ineffabilis providentia de publicatione anni Jubilaei,,,,,,,,,
1066971498,Aa,Sermones thesauri novi de tempore,,,,,,,,,
106697151X,Aaf,Sermones thesauri novi de tempore,,,,,,,,,
1066971528,Aaf,Glossa magistralis Psalterii,,,,,,,,,
1066971579,Aa,Sententiarum libri IV,,,,,,,,,
1066971595,Aaf,Orationes cum quibusdam aliis eiusdem operibus,,,,,,,,,
1066971609,Aaf,Epistolae familiares,,,,,,,,,
1066971617,Aa,Epistolae familiares,,,,,,,,,
1066971641,Aaf,Historia naturalis,,,,,,,,,
1066971692,Aaf,Vitae illustrium virorum,,,,,,,,,
1066971714,Aaf,Opera,,,,,,,,,
1066971757,Aaf,Opera,,,,,,,,,
106697179X,Aaf,"Psalterium, lat. und dt.",,,,,,,,,
1066971803,Aa,"Psalterium, lat. und. dt.",,,,,,,,,
106697182X,Aaf,Cosmographia,,,,,,,,,
1066971838,Aa,Cosmographia,,,,,,,,,
1066971927,Aaf,Tabulae directionum et profectionum,,,,,,,,,
1066971943,Aaf,Pantheologia sive Summa universae theologiae,,,,,,,,,
1066971978,Aaf,De laudibus Mariae,,,,,,,,,
1066972001,Aaf,Super sapientiam Salomonis,,,,,,,,,
1066972036,Aaf,Fasciculus temporum,,,,,,,,,
1066972141,Aa,Das @Buch der Croniken und Geschichten,,,,,,,,,
106697215X,Aaf,Epistolae breves,,,,,,,,,
1066972176,Aaf,Lucubratiunculae,,,,,,,,,
1066972192,Aa,Sermones Parati de tempore et de sanctis,,,,,,,,,
1066972273,Aaf,Himmelstrasse,,,,,,,,,
106697229X,Aaf,Almanach nova in annos 1499-1531,,,,,,,,,
1066972303,Aaf,Suda,,,,,,,,,
106697232X,Aaf,Summa rudium,,,,,,,,,
1066972397,Aaf,Hortulus rosarum de valle lacrimarum,,,,,,,,,
1066972419,Aa,Imitatio Christi,,,,,,,,,
1066972427,Aa,Imitatio Christi,,,,,,,,,
1066972605,Aaf,Summa theologiae,P. 1-3,,,,,,,,
1066972648,Aa,"Summa theologiae, P. 2,2",,,,,,,,,
1066972664,Aaf,Summa theologiae,P. 3,,,,,,,,
1066972699,Aa,"Summa theologica. P. 2,1",,,,,,,,,
1066972737,Aaf,Super quarto libro Sententiarum,,,,,,,,,
1066972745,Aaf,Scripta super quattuor libros Sententiarum,,,,,,,,,
1066972796,Aaf,Tractatus brevis et utilis de statu canonissarum seu mulierum quae vulgariter appellantur canonicae,,,,,,,,,
1066973067,Aaf,Speculum morale,,,,,,,,,
1066973253,Aaf,Opera,,,,,,,,,
1066973296,Aa,De salute corporis,,,,,,,,,
1066973326,Aaf,"Aphorismi, sive Sententiae",,,,,,,,,
1066973334,Aa,"Liber de contemptu mundi, sive De miseria humanae conditionis",,,,,,,,,
1070954241,Aa,"Historia Apollonii regis Tyri, dt.",,,,,,,,,
1072051486,Aa,Cursus hinc inde collecti,,,,,,,,,
1072233045,Aa,Ars minor,,,,,,,,,
1072233584,Aa,Hymni. Expositio hymnorum,,,,,,,,,
1072233924,Aa,Le @songe du vergier,,,,,,,,,
1072234246,Aa,Summa de vitiis,,,,,,,,,
1072234556,Aa,Opuscula varia,,,,,,,,,
1072234912,Aa,Quaestiones de duodecim quodlibet,,,,,,,,,
1072239671,Aa,Pamphilus de amore,,,,,,,,,
107224005X,Aa,Ars grammatica [etc.],,,,,,,,,
1072240653,Aa,Expositio in primum librum Canonis Avicennae cum quaestionibus eiusdem,,,,,,,,,
1072241498,Aa,De situ urbis Venetae,,,,,,,,,
1072254964,Aa,Commentum in Ciceronis Oratorem,,,,,,,,,
1072260050,Aa,Margarita decreti,,,,,,,,,
1072261766,Aa,Psalterium latinum,,,,,,,,,
1072262169,Aa,Missale  Brixiense,,,,,,,,,
1072263327,Aa,"Bücheranzeige zu ""Meluzyne""",,,,,,,,,
1072264366,Aa,"Bücheranzeige, lat.",,,,,,,,,
1072264676,Aa,De monstroso ansere atque porcellis,,,,,,,,,
1072264986,Aa,Modus veniendi ad amorem b. Mariae virginis,,,,,,,,,
