idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1000527646,Aal,A @History of the art of paper making,,,,,,,,,,"in: Herring: A practical Guide to the varieties and relative values of paper, ..."
1000527794,Aal,"Johann Christian Herrlichs, ... Kurtz zusammen gezogene sowohl Heilige Geographie, nach Anleitung der heiligen Schrift alten und neuen Testamente, als auch: Heilige Chronologie, nach den vier heiligen Evangelisten, ...",,,,,,,,,,"in: Bünting, Heinrich: Itinerarium sacrae scripturae ... Erfurt 1757. 8°"
1000527956,Aal,"Kurtz zusammen gezogene sowohl Heilige Geographie, nach Anleitung der hl. Schrift alten und neuen Testaments, als auch","Heilige Chronologie, nach den 4 hl. Evangelisten, Apostel-Geschichten St. Lucae, u. Jahrhunderten der Kirchen-Historie neuen Testaments ... abgefasset",,,,,,,,,"in: Buenting, Heinrich: Itinerarium sacrae scripturae. 3. Aufl. Erfurt 1757"
1000528251,Aal,Der @Heliand,ein Sachsensang von Christi Leben u. Leiden aus d. 9. Jahrhundert,,,,,,,,,in: Furche-Almanach. 1931
1000538443,Aal,Gravure criblée,Sainte Barbe ; Impressions négatives ; Sainte Dorothée ; Saint Bénoit,,,,,,,,,in: Documents iconographiques et typographiques de la Bibliothèque Royale de Belgique. Sér. 1
100054916X,Aal,Depositio Cornuti Typographici,,,,,,,,,,"in: Gaedertz, Karl Theodor: Gebrűder Stern und Ristens Depositivusspiel. Lűneburg 1886"
1000549291,Aal,Depositio cornuti typographici ...,,,,,,,,,,"in: Tscherning, J. N. : Neu-verbessertes Format-Buch. Lübeck, Leipzig 1724"
1000549437,Aal,Depositio cornuti typographici ...,,,,,,,,,,"in: Vietor, Johann Ludwig: Neu-auffgesetztes Format-Büchlein ... Frankfurt a. M. 1679"
1000615898,Aal,Appendice,1. Alphabet Égyptien ; 2. De lʹalphabet Tamil ou Tamoul,,,,,,,,,"in: Schoebel, C.: Mémoire sur les origines de lʹécriture alphabétique"
1000618137,Aal,Die @Nicolaische Buchhandlung,,,,,,,,,,in: Nicolaische Buchhandlung Borstell & Reimarus. Hauptverzeichnis von Fritz Borstells Lesezirkel. 1907
1000621219,Aal,"C. G. Röder, engraver and printer of music, Leipsic",,,,,,,,,,in: Röder: Proben der Officin von C. G. Röder
1000639037,Aal,Jahrbuch zur Belehrung und Unterhaltung für jedermann als Anhang zum Kalender auf das Schaltjahr 1836,nebst 7 Abb.,,,,,,,,,in: Regenten-Kalender auf das Jahr 1836
1000639150,Aal,Jahrbuch zur Belehrung und Unterhaltung für jedermann als Anhang zum Kalender auf das Jahr 1845,nebst 6 Abb.,,,,,,,,,in: Dampf-Kalender auf das Jahr 1845
1000648133,Aal,The @Rise of American edition binding,,,,,,,,,,in: Bookbinding in America
1000657434,Aal,Cartes,die Eroberung v. Mexico ; nach d. besten Quellen d. Jugend erzählt,,,,,,,,,"in: Hoffmann, Friedrich: Columbus"
1000658651,Aal,Ein @Trauerspiel in Berlin,Bürgerl. Drama in 3 Akten,,,,,,,,,in: Almanach für Freunde der Schauspielkunst auf das Jahr 1837. 1838
1000661032,Aal,Arte di legare i libri,"estratti dal libro V del manoscritto, conservato a Parigi nella Bibliothèque de lʹInstitut de France coll. ; manuscrit 2741, dal titolo ; des arts de construire les caractéres, de graver les poinçons des lettres, de fondre les lettres, dʹimprimer les lettres et de relier les livres, 1704",,,,,,,,,"in: Dudin, René Martin: Arte del legatore e doratore di libri [Lʹart du relieur-doreur de livres, ital.]"
1000714209,Aal,Zur Geschichte der Buchdruckerkunst und der Zeitungspresse in Zürich,,,,,,,,,,in: Neujahrsblatt hrsg. v. d. Stadtbibliothek in Zürich. - In verziert Brosch. Umschlag
1000714918,Aal,"Menschen, Thiere und Goethe",,,,,,,,,,in: Rheinischer Most
1000714977,Aal,French Type Specimen Books,,,,,,,,,,"in: Audin, Marius: Les Livrets typographiques des fonderies françaises créées avant 1800. Suppl."
1000715043,Aal,A @little Journey to the home of Whitman,,,,,,,,,,"in: Stevenson, Robert Luis: The essay on Walt Whitmann"
1000725057,Aal,Information for pilgrims unto the Holy Land,,,,,,,,,,"in: Duff, Gordon E.: Information for pilgrims unto the Holy Land"
1000730395,Aal,Contra Manichaeos dialogus [griech. u. lat.],,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
1000730603,Aal,[Commentarius in Meteoro Aristotelis],Scholia in I. Meteorum Aristotelis,,,,,,,,,in: Olympiodorus philosophus: In Meteora Aristotelis commentarii
1000736210,Aal,"Zur Bibliographie des Henricus Hembuche de Hassia, dictus de Langenstein",,,,,,,,,,"in: Brambach, Wilhelm: Die Reichenauer Sängerschule"
100073675X,Aal,A @Catalogue and specimen of the typefoundry of John James,,,,,,,,,,"in: Mores, Edward Rowe: A Dissertation upon English typographical founders and founderies. 1778. [Neudr.]"
100077127X,Aal,"Afhandling om de Norske Finners og Lappers Hedenske Religion, med en Tegning af en Rune-Bomme",,,,,,,,,,"in: Leem, Knud: Beskrivelse over Finmarks Lapper. Kiøbenhavn 1767. Facs. Oslo 1956. 8°"
100077130X,Aal,Gabriae Graeci Fabellae tres & guadraginta,,,,,,,,,,"in: Aesopus: Fabellae [Fabulae, griech. u. lat.]"
1000776999,Aal,"Excerpta ex indice librorum expurgatorum, Gasparis Quiropa iussu editus",,,,,,,,,,"in: Index expurgatorius librorum qui hoc saeculo prodierunt ... [Straßburger Nachdr. d. Antwerpener Index expurg. v. 1571], S. 165 - 449. - [Ausz.]"
1000777219,Aal,"Index|| Librorvm|| Prohibitorvm, Cvm|| Regvlis Confectis Per|| Patres à Tridentina Synodo dele||ctos, auctoritate Sanctiss. D.|| N. Pij III. Pont.|| Max. compro||batus||",,,,,,,,,,in: Canones et Decreta ... Concilii Tridentini. Köln 1577
1000777650,Aal,"Index|| librorvm prohibitorum,|| ad Romanvm no vissimum exemplar redactus||",cum Regulis|| confectis per Patres à Tridenti||na Synodo delectos ...,,,,,,,,,in: Concilium Tridentinum ... Venetiis 1588
1000777847,Aal,"Index librorum prohibitorum, auctoritate Pii IV. primum editus","postea vero a Sixto V. auctus et nunc demum Clementis Papae VIII. recognitus et publicatus ; additis regulis, ac exequenda prohibitionis ratione",,,,,,,,,"in: Indices expurgatorii duo, testes fraudum ac falsationum pontificiarum ... Hanau 1611"
1000786730,Aal,"Die @Papiernmühle in Carben, Kreis Heiligenbeil",,,,,,,,,,"in: Heimatkalender, Natanger, für das Jahr 1929. S. 58 - 64 mit 2 Abb. 8"
1000789934,Aal,Letterproef,"Ipenbuur & van Seldam, boek-en kunstdrukkerij",,,,,,,,,"in: Enschedé, J. W.: De Boekletter in Nederland"
1000790916,Aal,25 Jahre J. C. Müller,,,,,,,,,,"in: Müller, J. C., 1908 - 1933. 1933"
1000791769,Aal,William Edwin Rudge,a brief account of his life and work together with some notes on his influence on American printing,,,,,,,,,"in: PM. Vol. 3. 1973. No. 6, S. 1 - 34"
1000791939,Aal,Orationes,,,,,,,,,,in: Antiphon Orator: Orationes
1000791998,Aal,Brief an Franciscus Cicerinus,,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000792471,Aal,Orationes tres,,,,,,,,,,[Ausz.]
1000792471,Aal,Orationes tres,,,,,,,,,,"in: Plutarchus: De puerorum educatione [Moralia, Ausz., griech.]"
1000793176,Aal,Orationes,,,,,,,,,,"in: Wilhelmi, Johann Gerlach: Fasciculus Graecus"
1000797813,Aal,La @Vierge de 1418,,,,,,,,,,in: Documents iconographiques et typographiques de la Bibliothèque Royale de Belgique. Sér. 1
100079900X,Aal,Index librorum prohibitorum,"cum regulis confectis per Patres à Trid. Synodo delectos ; auctoritate Pii IV. primum editus ... et nunc demum S. D. N. Clementis Papae VIII. iussu recognitus, et publicatus",,,,,,,,,in: Canones et decreta sacrosancti Concilii Tridentini ... Venetiis 1664
1000799069,Aal,Index librorum prohibitorum,cum regulis confectis per Patres à Trid. Synodo delectos : auctoritate Pii IV. primum editus ...,,,,,,,,,"in: Canones, Sacrosancti Concilii Tridentini, et decreta. Bassano 1733"
100079928X,Aal,Indice des livres prohibez ...,,,,,,,,,,"in: Le Saint Concile Universel Sacré et général, de Trente [Concilium Tridentinum, franz.]"
1000799360,Aal,Instruction raisonnée sur le papier nouveau que le sieur Desnos annonce au public ...,,,,,,,,,,"in: Dissertation historique sur lʹinvention des lettres, ou caractères dʹécriture. 1771"
1000800261,Aal,Elogium Tiberii Hemsterhusii,cui duae Bentleii epistolae ad Hemsterhusium acc.,,,,,,,,,in: Vitae duumvirorum Tiberii Hemsterhusii et Davidis Ruhnkenii
1000813479,Aal,Der @neue Schreibunterricht nach Sütterlin,,,,,,,,,,in: Ashelm Ferd. Der neue Schreibunterricht
1000813916,Aal,"Gothicum Glossarium, ... praemittuntur ei Gothicum, Runicum, Anglo-Saxonicum, aliáque alphabeta",,,,,,,,,,"in: Testamentum novum, Teilausg., got. u. angelsächs. - Versiones. - Quatuor Jesu Christi Evangeliorum versiones perantiquae duae, Gothica scil. et Anglo-Saxonica"
1000820084,Aal,Bidrag till Kong[liga] Bibliothekets (!) historia under min tjenstetid,,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 41"
1000820181,Aal,Der @Gesetzentwurf zur Bekämpfung des Schmutzes in Wort und Bild,,,,,,,,,,"in: Zum gesetzklichen Kampf, gegen die Schundliteratur"
1000843246,Aal,Das @Hohelied einer alten Druckerstadt [=Leipzig],,,,,,,,,,in: Meisterschueler-Kalender [8.] 1938
