idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1001212649,Aal,"Des @heiligen Hiobs bleyernes Schreib-Täflein, zu Lob der edlen Buchdruckerkunst",,,,,,,,,,"in: Hornschuch, Hieronymus: [Orthotypographia, dt.] Neue verb. Aufl."
1001212916,Aal,Die @bulgarische Buchdruckerkunst,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich u. Hermann Barge: Geschichte der Buchdruckerkunst. Bd. 2. 1941"
1001226534,Aal,Veteráni,,,,,,,,,,"in: Lambert: Dvacet tisíc zloděj°u [The twenty thousand Thieves, tschech.]"
1001230272,Aal,Abhandlung von der Poesie überhaupt und der Ode insbesondere,,,,,,,,,,in: Oden der Deutschen Gesellschaft in Leipzig
1001233565,Aal,60 Gedichte,,,,,,,,,,in: Kalender der Musen und Grazien für das Jahr 1796
1001270134,Aal,Eine @erste Auswahl von Fachbüchern für den jungen Buchhändler,(Zugleich Grundstock für eine Fachbücherei),,,,,,,,,"in: Der deutsche Buchhandlungsgehilfe. Jg. 5. 1937, Nr. 2"
1001271688,Aal,Tanker Derbent,,,,,,,,,,"in: Malyškin, Aleksandr Georgievič: Ljudi iz Zacholustʹja"
1001288084,Aal,Die @ältesten Industriestätten von Zwönitz,,,,,,,,,,in: Kunze: Zwönitzer Frauen erstmalig in Produktionsstätten
1001288246,Aal,Wie ich zum Papierhistoriker wurde,,,,,,,,,,in: Kunze: Zwönitzer Frauen erstmalig in Produktionsstätten
1001304861,Aal,"Opus posthumus ... in orbe terrarum gentium Alexandrinorum, Graecorum, Agyptiorum ... atque Romanorum ... calendariorum cum anno Iulianum ...",,,,,,,,,,"in: Garcaeus, Johann: Astrologiae methodus ..."
1001347765,Aal,"Electa,",,,,,,,,,,"in: Rosinus, Johannes: Antiquitatum Romanarum corpus absolutissimus"
1001358074,Aal,Königliche Kundmachung anlässlich Schwedens Beitritt zur revidierten Konvention von Bern für den Schutz literarischer und künstlerischer Werke,,,,,,,,,,in: Gesetz betreffend das Recht an literarischen und musikalischen Werken
1001358406,Aal,Kunstblatt,1844,,,,,,,,,in: Morgenblatt für gebildete Leser. 1844
1001359593,Aal,Läsningen - denna oskyldiga last,,,,,,,,,,in: Last eller dygd
1001362462,Aal,Das @isländische Preßrecht,,,,,,,,,,"in: Krabbe, Oluf H.: Das dänische Preßrecht"
1001386655,Aal,"Brief an Erasmus von Rotterdam, 1517",,,,,,,,,,in: Froben Briefwechsel. Abschr. Kirchhoff. - Buchhandler u. Drucker in Strassbourg bis 1519
100141683X,Aal,Dürerforschung und Wasserzeichen,,,,,,,,,,"in: Bockwitz, Hans: Alte Abbildungen zum Papierfärber-Handwerk"
1001419871,Aal,Papiermühlen- und Wasserzeichenforschung,,,,,,,,,,in: Gutenberg-Jahrbuch. 1934. S. 9 - 27 4°
1001432479,Aal,Darstellung der photomechanischen Druckverfahren,Gemeinfaßl,,,,,,,,,in: Die Buchgewerbliche Ausstellung im Dt. Buchhändlerhause zu Leipzig
1001442490,Aal,"Graecolatina epistola, rectae fidei columna",,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
1001442946,Aal,Descriptive List of the bibliographical works,,,,,,,,,,"in: Green, Samuel Swett: Library-Aids"
1001443667,Aal,Libri typis elegantissimis typographicis Velserianis ad insigne pinus ab anno 1594 usque ad annum 1614 impressi,,,,,,,,,,"in: Zapf, Georg Wilhelm: Annales typographiae Augustanae ab ... 1466 usque ad 1530"
1001447727,Aal,"Ehrenrettung des sächsischen Merseburg, als des Druckorts ""Marsipolis"" und ""Merßborg"" von 1473 und mithin als der ältesten norddeutschen Druckstätte",,,,,,,,,,in: Schwetsche: Vorakademische Buchdruckergeschichte der Stadt Halle
100144776X,Aal,"Supplementarisches zu Hain, Ebert, Schaab und Wetter",,,,,,,,,,in: Schwetschke: Vorakademische Buchdruckergeschichte der Stadt Halle
1001476409,Aal,De ave Diomedea dissertatio,,,,,,,,,,"in: Redi, Francesco: Opusculorum pars ... [Teils.]"
1001476484,Aal,Note sommaire sur les machines à composer et à imprimer,,,,,,,,,,"in: Hervé, A.: Imprimerie"
1001476883,Aal,"Catalogus derjenigen Schriften, welche bey Ioh. Christian Langenheim zu haben sind",,,,,,,,,,in: Langenheim: Catalogi dissertationum theologico-exegetico-philologicarum venalium apud Ioan. Christian. Langenhemium. P. 2. Lipsiae 1750 - 70
1001480546,Aal,"Liste des Editeurs de Paris avec leur adresse, leurs numéros de téléphone, de comptes de chèques postaux et lʹindication de leur spécialités",,,,,,,,,,"in: Bulletin de la Maison du Livre français. Année 9, 1928, No. 110"
1001481208,Aal,Bibliografi,Sveriges äldre liturgiska Literatur,,,,,,,,,"in: Handlingar, Kungl. Bibliotekets. 1"
1001481631,Aal,Literaturblatt,1844,,,,,,,,,in: Morgenblatt für gebildete Leser. 1844
1001489047,Aal,"Der @Anfang, Wachsthum und Nutzen der Buchdrucker-Kunst",auf dem ... 3. Buchdrucker-Jubilaeo in gebundener Rede,,,,,,,,,in: Hilaria typographica Erfordiensia
1001498755,Aal,Allgemeines über die technischen Kurse der Leipziger Akademie,,,,,,,,,,in: Die technischen Kurse der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 1
1001509986,Aal,Lob-Rede bey des ...,"[Leichenrede auf Christian Hofmann von Hofmannswaldau, Dichter, [gestorben] 18. April 1679]",,,,,,,,,"in: Hoffmann von Hofmannswaldau, Christian: Deutsche Ubersetzungen und Getichte [Teils.]"
1001519620,Aal,La @Fontaine des amoureux de science,,,,,,,,,,"in: De la Transformation metallique, trois anciens tractez"
100151971X,Aal,Het @Werk van de Blaeuʹs,,,,,,,,,,"in: Blaeu, In Officina Ioannis"
1001519760,Aal,Land- und Fortwirtschaft,,,,,,,,,,"in: Biologie, Allgemeine, Botanik, Zoologie"
100152828X,Aal,De morte Claudij Cesaris cum scholijs Beati Rhenani,,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Moriae encomicum, id est, stulticiae laudativ, ludicra declamatione tractata"
1001539044,Aal,Allgemeine Beschreibung des Waldbesitzes der Gesellschaft in Prein und Rax nebst historischen Daten u. einer Übersichtskarte,,,,,,,,,,in: Aktiengesellschaft der K. K. priv. Papierfabrik Schlöglmühl auf der allgemeinen land- u. forstwirthschaftlichen Ausstellung. Wien 1890
1001541375,Aal,Zur Entwicklung der modernen Graphik,,,,,,,,,,in: Graphik moderner Künstler. Text
1001553527,Aal,"Observations sur lʹOrdonnance du 1. septembre 1827, interprétative du règlement de 1723, relatif à la librairie",,,,,,,,,,in: Histoire judiciaire de lʹOrdonnance interprétative du règlement de 1723. Paris 1928
1001553977,Aal,Inventory of Berkeleyʹs manuscript remains,,,,,,,,,,"in: Jessop, Thomas Edmund: A Bibliography of George Berkeley"
1001602692,Aal,Une @histoire de Paris,,,,,,,,,,in: Le Diable à Paris. Bd. 1
1001603222,Aal,Sectarum historia,,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
100160363X,Aal,"Vita B. Ioannis a Caramola Tolosani, conversi Sagittariensis monasterii, congregations B. Mariae Virginis utriusque Calabriae et Lucaniae, sacri Cisterciensis ordinis",,,,,,,,,,"in: Lauro, Gregorio de Laude: B. Ioannis Ioachimi ... alethia hergasiarum apologetica"
1001604016,Aal,On the Rebinding of old books,,,,,,,,,,in: Bookbinding in America
1001604237,Aal,Opus de origine familiarum illustrium insigniumque dominorum cujuscunque loci,,,,,,,,,,in: Le Roy: Brabantia illustrata [Castella et praetoria nobilium Brabantiae]
1001604369,Aal,Discours moraux,,,,,,,,,,"in: Vaenius, Otho: Le Theâtre moral de la vie humaine [Q. Horati Flacci Emblemata, franz.]"
1001604547,Aal,"Pensées hazardées sur les études, la grammaire, la rethorique et la poe͏̈tique",,,,,,,,,,"in: Swift, Jonathan: Le grand Mistère, ou lʹart de méditer sur la garderobe"
1001604695,Aal,Orationes politicae,,,,,,,,,,"in: Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis"
1001604946,Aal,Rapport sur une machine à fabriquer du papier en feuilles de toutes qualités et de toutes proportions ...,,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1001605152,Aal,Rapport sur une machine à fabriquer de papier en feuilles dʹune lonquer indéterminée,,,,,,,,,,"in: Leschevin: Rapports lus à lʹacadémie des sciences, arts et belles-lettres, de Dijon. 1815"
1001605853,Aal,"Enchiridion geistlicher gesenge und Psalmen für die leinen, mit viel andern, denn zuvor gebessert ...",,,,,,,,,,"in: Hofmann, Hans: Das erste Leipziger Gesangbuch von Michael Blume. 1914"
1001606396,Aal,"Von dem grewel der|| Stillmesse, so mann den Canon|| nennet. Marth. Luth. D.",,,,,,,,,,"in: Flacius Jllyricus, Matthias: Zwey Capitel Polydori Virgilij vom Namen vnd Stifftern der Mess ..."
1001606906,Aal,"Der @kleine Catechismus, ohne u. mit d. Auslegung, nebenst d. Fragstücken u. Haustafel vor d. christliche Gemeine",,,,,,,,,,in: Vollständiges Kirchenbuch
1001607171,Aal,Kleiner Catechismus,,,,,,,,,,"in: Episteln und Evangelia auf alle Sonn-, Fest- und Feiertage durchs ganze Jahr"
1001620895,Aal,"Magni divinique prophetae B. Ioannis Ioachim abbatis, sacri Cisterciensis ordinis, monasterii Floris et Florensis ordinis institutoris, Vaticiniorum de apostolicis viris, sive de romanis pontificibus historica et symbolica explicatio",,,,,,,,,,"in: Lauro, Gregorio de Laude: B. Ioannis Ioachimi ... alethia hergasiarum apologetica"
1001631234,Aal,Nachträge zur Lachmannʹschen Ausgabe von Lessingʹs Werken,,,,,,,,,,"in: Danzel, Theodor Wilhelm: Gotthold Ephraim Lessing, sein Leben und seine Werke"
1001638999,Aal,Slavonic manuscript Vocabularies in the Bodleian Library,,,,,,,,,,in: Oxford Slavonic Papers. Vol. 2. 1951. 8°
1001648382,Aal,Psalmen Davids samt den Kirchengesängen und geistlichen Liedern,,,,,,,,,,"in: Die Psalmen Davids [Psalmi, dt.]"
1001648404,Aal,[Jen-Pierre de] Béranger,[Notice biographique],,,,,,,,,"in: Moulinet, J. E. V.: Album du typographie. Paris [um 1855 - um 1870]: Paul Dupont. 2°"
1001648439,Aal,Die @verwaltungstechnische Einrichtung der städtischen Bücher- und Lesehalle,,,,,,,,,,"in: Osnabrück, 25 Jahre Städtische Bücher- und Lesehalle"
100165160X,Aal,Martin Luthers kleiner Catechismus und christliche Fragstücke,Sammt angehängten Gebeten f. d. Schul-Jugend,,,,,,,,,"in: Schulbuechlein, Neu eingerichtetes Ebersdorfer. Schleiz 1827"
1001655044,Aal,"Georg Christoph Lichtenbergs Erklärungen zu Daniel Chodowieckis Monatskupfer zum ""Göttinger Taschen Calender"", 1778 - 1783",,,,,,,,,,"in: Chodowiecki, Daniel: Chodwiecki und Lichtenberg. Hrsg. v. Rudolf Focke. Leipzig 1901. 4°"
1001675819,Aal,Die @Geschichte des Vereines der österr.-ungar. Papierfabrikanten 1872 - 1898,,,,,,,,,,in: Markowich: Die österreichische Papierindustrie und ihre Entwicklung unter der Regierung Seiner Majestät des Kaisers Franz Josef I.
1001711211,Aal,Polyistōra,,,,,,,,,,"in: Camers, Johann: In C. Julii Solini Polyistōra enarrationes"
1001719972,Aal,[Schreibvorlagen],"Liverloz, Baillieul graveur, Lz, Bl",,,,,,,,,"in: Royllet, Sébastien: Vorschriften"
1001720253,Aal,"Christophori Longolii ad Lutherianos quosdam oratio, annos abhinc LIV. formis expressa",,,,,,,,,,"in: Osorio da Fonseca, Jeronimo: De religione libri III"
1001720571,Aal,Vesser und Veßra,,,,,,,,,,in: Lorentzen: Ursprung und Anfänge der Stadt Schleusingen
1001731972,Aal,Mythologia Musarum,,,,,,,,,,"in: Conti, Natale: Mythologiae, sive Explicationis fabularum, libri decem"
1001753968,Aal,"Ad Andream Morellium epistolae tres, quibus numi quidam rariores thesauri quondam Schwartzburgici hodie Fridericiani, illlustrantur",,,,,,,,,,"in: Liebe, Christian Sigismund: Gotha numaria"
1001763289,Aal,Schweizerische Bibliographie der Jugendhilfe,,,,,,,,,,in: Schweizerisches Jahrbuch d. Jugendhilfe. Bd. 14. 1931-1932. S. 174 - 180
1001794737,Aal,"Wolf Endter, Buchhändler, Drucker, Kaufherr aus Nürnberg",,,,,,,,,,"in: Die Stimme Frankens. Jg. 26.1960. Nr 3/4, S. 82 - 86 m. Abb."
1001803833,Aal,Der @typographische Greif,,,,,,,,,,"in: Mohnike, Gottlieb: Die Geschichte der Buchdruckerkunst in Pommern. 1840"
1001805968,Aal,Romanische Sprachen und Literaturen,,,,,,,,,,in: Englische und amerikanische Sprache und Literatur
1001806115,Aal,Slawische Sprachen und Literaturen,,,,,,,,,,"in: Sprache, Englische und amerikanische, und Literatur"
1001809343,Aal,Die @Aufgaben der graphischen Künste,,,,,,,,,,"in: Nieper, Ludwig: Die Königl. Kunstakademie u. Kunstgewerbeschule in Leipzig. Festschrift u. amtl. Bericht. 1890"
1001809769,Aal,Die @Stellung des modernen Künstlers zu den Stilmustern,Vortrag,,,,,,,,,"in: Bericht, Amtlicher. Kgl. Kunstakademie ... Leipzig 1881"
1001860276,Aal,"Tägliches Gebetbüchlein für Schwangere, Gebärende, und Wöchnerinnen",,,,,,,,,,in: Starck: Tägliches Handbuch in guten und bösen Tragen
1001874730,Aal,"Der @Juden zu Franckfurt Stättigkeit und Ordnung, wie dieselbe so wol von uhralten Jahren hero, als hernacher biß auff das Jahr 1613 gefunden worden",,,,,,,,,,in: Privilegia der heiligen Reichsstadt Frankfurt a.M. Frankfurt a.M. 1614
1001877101,Aal,Eine @Auswahl aus seinem Schrifttum,[Teils],,,,,,,,,in: Furche-Almanach. 1929
1001898834,Aal,Statut für die mit der Jenaischen Krankenkasse für Buchdrucker und Schriftgießer verbundene Invalidenkasse,,,,,,,,,,in: Statut der Allgemeinen Kranken-Unterstützungskasse für Buchdrucker und Schriftgießer zu Jena. Umgearb. Aufl. v. 1869
1001907442,Aal,Original-Probe der Ausstattung seiner Druckwerke,1) Papier mit dem Zeichen des Ochsenkopfs; 2) Der Druck; 3) Arbeiten der Illuminatoren und Rubricatoren,,,,,,,,,in: Lempertz sen. Heinrich: Beiträge z. Gesch. d. Leinen-Papiers. [1. Aufl.] 1. 1891
1001907949,Aal,"Statuta synodica, in ecclesiis Pomeraniae, promulgata in synodo Gryphenhagiâ",,,,,,,,,,in: Barnim XI. Herzog v. Pommern: Kercken-Ordeninge im Lande tho Pamern
1001916212,Aal,Von der holdseligen Liebe Gottes,,,,,,,,,,"in: Arndt, Johann: Sechs Bücher vom wahren Christentum. 1753"
1001918444,Aal,"Statuten der Typographischen Gesellschaft zu Leipzig, gegründet 12. Februar 1877",,,,,,,,,,"in: Verzeichnis der in den Sammlungen der Typographischen Gesellschaft zu Leipzig enthaltenen Bücher, ... Nachtr. 1.1893"
1001921976,Aal,Büchlein der Pestilenz||,B°uchlin der ordnung|| wie sich der mensch halten sol|| zu den zy͏̈ten diser grusenlichen kranckheit|| ,,,,,,,,,in: Die ersten gedruckten Pestschriften
1001952855,Aal,Oratio adversus Leocratem,Graece ac Lat.,,,,,,,,,"in: Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis"
1001980964,Aal,Der @Erbe von Ballantrae,,,,,,,,,,"in: Gerbrand, Marie: Sich selber treu"
1001986393,Aal,Notae uberiores in historiam Danicam Grammatici una cum prolegomenis ad easdem notas,,,,,,,,,,in: Saxo Grammaticus: Historiae Danicae libri XVI. Sorae: Joachim Moltken 1644; nicht im VD17
1001987853,Aal,Gutenberg in Mainz,ein Schauspiel in 3 Akten ; Uraufgeführt im Gutenberg-Jubiläumsjahr zu Leipzig,,,,,,,,,in: Meisterschueler-Kalender. 1940
1001996259,Aal,The @first Decade of printing in the royal province of South Carolina,,,,,,,,,,"in: Transactions of the Bibliographical Society. New Series Vol. XIII, 1933. No. 4"
1002013224,Aal,Papyrus war ein vielseitiger Werkstoff,,,,,,,,,,"in: Wissen und Leben. 1958. H. 3, S. 202 - 203. 8°"
1002023653,Aal,Das @Rezensionsexemplar,,,,,,,,,,"in: Zeitschrift f. Rechtspflege in Bayern. Jg. 29. 1933, Nr. 2, S. 17 - 21"
1002048192,Aal,Rhythmus antiquus Germanicus de Caroli Magni expeditione Hispanica,,,,,,,,,,"in: Schilter, Johann: Thesaurus antiquitatum Teutonicarum ... T. 2. 1728"
1002068096,Aal,Nomina urbium typographiis insignium,,,,,,,,,,"in: Šafařík, P. C. : Beiträge zum Studium von Bibliothekseinrichtungen ..."
1002074959,Aal,Buchdruckersünden und Korrektoren-Unfug,eine nothwendige Beil. zu Struveʹs Schrift über die lateinische Declination u. Conjugation,,,,,,,,,"in: Struve: Ueber die lateinische Declination und Conjugation, 1823"
100208511X,Aal,Rechtsfragen auf der Gebiete der Bekämpfung der Schundliteratur,,,,,,,,,,"in: Zum gesetzlichen Kampf, gegen die Schundliteratur"
1002091624,Aal,"Ad illustrissimum principem Guilielmum Ducem Iuliacensium, Clivensium, Montensium ... Ioannis Sturmii de educatione principis",,,,,,,,,,"in: Heresbach, Konrad: De educandis atque erudiendis principum liberis"
1002094402,Aal,Svenska Tidningar od tidskrifter utgifna inom Nord-Amerikas Förenta Stater,Bibliografisk Öfversigt,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 8"
1002110912,Aal,Der @Ulmer Stadtarzt und Schriftsteller Heinrich Steinhöwel,,,,,,,,,,in: Die ersten gedruckten Pestschriften
1002112648,Aal,Der @Entwurf des Bucheinbandes,,,,,,,,,,"in: Kersten, Paul: Der exakte Bucheinband"
1002125235,Aal,Om Kungl[iga] Bibliotekets äldre Kataloger,,,,,,,,,,"in: Handlingar, Kungl. Bibliotekets. 42"
